GDP
Category: Finance,
,
Month,GDP: (United States)
2004-01,31
2004-02,61
2004-03,20
2004-04,60
2004-05,28
2004-06,14
2004-07,29
2004-08,52
2004-09,49
2004-10,100
2004-11,52
2004-12,23
2005-01,20
2005-02,32
2005-03,55
2005-04,52
2005-05,46
2005-06,10
2005-07,19
2005-08,9
2005-09,41
2005-10,38
2005-11,55
2005-12,45
2006-01,47
2006-02,41
2006-03,30
2006-04,32
2006-05,25
2006-06,19
2006-07,13
2006-08,29
2006-09,17
2006-10,21
2006-11,47
2006-12,16
2007-01,19
2007-02,49
2007-03,26
2007-04,31
2007-05,16
2007-06,18
2007-07,37
2007-08,23
2007-09,31
2007-10,14
2007-11,35
2007-12,58
2008-01,22
2008-02,66
2008-03,26
2008-04,32
2008-05,32
2008-06,17
2008-07,29
2008-08,16
2008-09,42
2008-10,46
2008-11,60
2008-12,38
2009-01,33
2009-02,35
2009-03,71
2009-04,56
2009-05,32
2009-06,19
2009-07,38
2009-08,24
2009-09,42
2009-10,36
2009-11,53
2009-12,15
2010-01,23
2010-02,31
2010-03,44
2010-04,30
2010-05,45
2010-06,42
2010-07,23
2010-08,30
2010-09,35
2010-10,36
2010-11,32
2010-12,30
2011-01,50
2011-02,39
2011-03,43
2011-04,49
2011-05,19
2011-06,32
2011-07,41
2011-08,52
2011-09,44
2011-10,39
2011-11,56
2011-12,46
2012-01,24
2012-02,38
2012-03,33
2012-04,34
2012-05,22
2012-06,26
2012-07,27
2012-08,31
2012-09,40
2012-10,42
2012-11,44
2012-12,41
2013-01,34
2013-02,39
2013-03,40
2013-04,41
2013-05,26
2013-06,38
2013-07,22
2013-08,24
2013-09,33
2013-10,32
2013-11,27
2013-12,22
2014-01,24
2014-02,39
2014-03,26
2014-04,37
2014-05,29
2014-06,18
2014-07,23
2014-08,22
2014-09,28
2014-10,37
2014-11,51
2014-12,37
2015-01,26
2015-02,49
2015-03,33
2015-04,38
2015-05,30
2015-06,31
2015-07,40
2015-08,26
2015-09,44
2015-10,41
2015-11,38
2015-12,35
2016-01,32
2016-02,46
2016-03,34
2016-04,37
2016-05,30
2016-06,38
2016-07,29
2016-08,23
2016-09,36
2016-10,35
2016-11,49
2016-12,35
2017-01,33
2017-02,51
2017-03,40
2017-04,36
2017-05,38
2017-06,18
2017-07,25
2017-08,13
2017-09,35
2017-10,29
2017-11,33
2017-12,43
2018-01,32
2018-02,35
2018-03,27
2018-04,35
2018-05,36
2018-06,27
2018-07,31
2018-08,21
2018-09,32
2018-10,37
2018-11,35
2018-12,26
2019-01,39
2019-02,44
2019-03,31
2019-04,38
2019-05,33
2019-06,29
2019-07,19
2019-08,29
2019-09,32
2019-10,34
2019-11,30
2019-12,28
2020-01,29
2020-02,41
2020-03,39
2020-04,47
2020-05,24
2020-06,29
2020-07,29
2020-08,23
2020-09,29
2020-10,37
2020-11,26
2020-12,21
2021-01,27
2021-02,29
2021-03,23
2021-04,33
2021-05,26
2021-06,15
2021-07,14
2021-08,15
2021-09,23
2021-10,21
