VIX
Category: Finance,
,
Month,VIX: (United States)
2004-01,0
2004-02,0
2004-03,17
2004-04,6
2004-05,6
2004-06,12
2004-07,6
2004-08,11
2004-09,10
2004-10,5
2004-11,11
2004-12,5
2005-01,0
2005-02,9
2005-03,0
2005-04,4
2005-05,0
2005-06,8
2005-07,12
2005-08,4
2005-09,4
2005-10,10
2005-11,7
2005-12,3
2006-01,3
2006-02,3
2006-03,5
2006-04,3
2006-05,8
2006-06,3
2006-07,3
2006-08,0
2006-09,7
2006-10,9
2006-11,13
2006-12,7
2007-01,6
2007-02,12
2007-03,13
2007-04,8
2007-05,10
2007-06,7
2007-07,10
2007-08,21
2007-09,5
2007-10,10
2007-11,16
2007-12,3
2008-01,18
2008-02,6
2008-03,15
2008-04,8
2008-05,5
2008-06,9
2008-07,12
2008-08,10
2008-09,23
2008-10,44
2008-11,17
2008-12,9
2009-01,12
2009-02,10
2009-03,9
2009-04,13
2009-05,13
2009-06,8
2009-07,9
2009-08,8
2009-09,4
2009-10,18
2009-11,15
2009-12,7
2010-01,16
2010-02,7
2010-03,14
2010-04,14
2010-05,33
2010-06,7
2010-07,14
2010-08,9
2010-09,16
2010-10,15
2010-11,10
2010-12,14
2011-01,7
2011-02,11
2011-03,18
2011-04,20
2011-05,8
2011-06,11
2011-07,14
2011-08,22
2011-09,14
2011-10,11
2011-11,15
2011-12,10
2012-01,9
2012-02,14
2012-03,29
2012-04,12
2012-05,11
2012-06,14
2012-07,11
2012-08,15
2012-09,18
2012-10,10
2012-11,9
2012-12,13
2013-01,15
2013-02,20
2013-03,9
2013-04,13
2013-05,10
2013-06,13
2013-07,10
2013-08,11
2013-09,10
2013-10,15
2013-11,12
2013-12,11
2014-01,13
2014-02,15
2014-03,10
2014-04,10
2014-05,16
2014-06,11
2014-07,13
2014-08,10
2014-09,8
2014-10,20
2014-11,10
2014-12,17
2015-01,15
2015-02,10
2015-03,13
2015-04,16
2015-05,13
2015-06,13
2015-07,20
2015-08,25
2015-09,14
2015-10,12
2015-11,11
2015-12,11
2016-01,13
2016-02,9
2016-03,11
2016-04,11
2016-05,9
2016-06,25
2016-07,18
2016-08,17
2016-09,17
2016-10,14
2016-11,24
2016-12,9
2017-01,15
2017-02,13
2017-03,14
2017-04,15
2017-05,22
2017-06,10
2017-07,12
2017-08,23
2017-09,19
2017-10,15
2017-11,11
2017-12,9
2018-01,15
2018-02,62
2018-03,18
2018-04,13
2018-05,13
2018-06,13
2018-07,10
2018-08,14
2018-09,8
2018-10,21
2018-11,10
2018-12,20
2019-01,16
2019-02,11
2019-03,11
2019-04,9
2019-05,14
2019-06,9
2019-07,10
2019-08,23
2019-09,12
2019-10,12
2019-11,13
2019-12,12
2020-01,16
2020-02,26
2020-03,100
2020-04,44
2020-05,30
2020-06,44
2020-07,25
2020-08,20
2020-09,38
2020-10,24
2020-11,18
2020-12,14
2021-01,19
2021-02,34
2021-03,23
2021-04,15
2021-05,20
2021-06,18
2021-07,17
2021-08,17
2021-09,19
2021-10,18
