multiTimeline (10)
Category: Finance,,,,,
,,,,,
Month,war: (United States),impeachment: (United States),catastrophe: (United States),natural disaster: (United States),inflation: (United States)
2004-01,28,0,9,0,84
2004-02,23,0,14,0,55
2004-03,35,0,12,0,41
2004-04,22,0,14,0,77
2004-05,41,0,8,4,58
2004-06,13,0,8,0,46
2004-07,43,0,4,0,13
2004-08,42,0,8,0,58
2004-09,33,0,15,0,40
2004-10,22,0,0,0,49
2004-11,12,0,12,0,50
2004-12,21,0,7,0,73
2005-01,24,0,3,0,58
2005-02,19,0,10,0,52
2005-03,33,0,0,3,60
2005-04,47,0,13,0,63
2005-05,28,0,8,0,50
2005-06,20,0,11,0,43
2005-07,31,0,11,0,28
2005-08,24,0,8,0,56
2005-09,25,0,27,2,40
2005-10,23,2,11,0,58
2005-11,21,0,0,0,66
2005-12,18,0,11,0,38
2006-01,18,0,14,0,48
2006-02,25,0,0,0,64
2006-03,34,0,5,0,60
2006-04,33,0,6,0,63
2006-05,22,0,9,2,63
2006-06,17,0,8,0,54
2006-07,23,0,4,0,40
2006-08,19,0,5,0,40
2006-09,26,0,12,0,46
2006-10,17,0,8,2,42
2006-11,22,0,3,2,35
2006-12,28,0,3,0,27
2007-01,35,0,4,0,29
2007-02,34,0,6,0,41
2007-03,29,0,4,0,41
2007-04,28,0,8,0,48
2007-05,32,0,2,0,45
2007-06,22,0,3,0,45
2007-07,12,0,6,0,38
2007-08,14,0,8,0,45
2007-09,21,0,7,0,43
2007-10,28,0,3,0,65
2007-11,30,0,5,1,79
2007-12,18,0,3,0,54
2008-01,38,0,6,0,52
2008-02,29,0,7,0,74
2008-03,32,0,7,0,69
2008-04,30,0,5,0,64
2008-05,29,0,9,0,70
2008-06,26,0,5,0,74
2008-07,26,0,9,0,57
2008-08,21,0,9,0,55
2008-09,40,0,15,1,61
2008-10,30,0,10,0,79
2008-11,39,0,7,1,62
2008-12,30,0,8,0,53
2009-01,28,1,7,0,59
2009-02,24,0,10,1,72
2009-03,37,0,10,2,78
2009-04,22,0,9,1,59
2009-05,26,0,11,1,55
2009-06,21,0,7,0,76
2009-07,23,0,10,1,44
2009-08,20,0,10,1,55
2009-09,24,0,8,0,53
2009-10,31,0,3,0,56
2009-11,27,1,6,0,62
2009-12,26,0,7,0,50
2010-01,21,0,7,0,41
2010-02,22,0,4,1,42
2010-03,33,0,9,1,40
2010-04,37,0,6,1,51
2010-05,19,0,10,0,44
2010-06,19,0,7,0,43
2010-07,13,0,10,1,41
2010-08,14,0,6,0,41
2010-09,20,0,8,1,54
2010-10,24,0,7,1,58
2010-11,28,1,3,0,60
2010-12,32,0,4,0,52
2011-01,30,0,7,0,53
2011-02,27,<1,9,<1,58
2011-03,29,<1,8,1,55
