Banking
Category: Finance,
,
Month,banking: (United States)
2004-01,12
2004-02,11
2004-03,12
2004-04,11
2004-05,11
2004-06,13
2004-07,14
2004-08,13
2004-09,13
2004-10,12
2004-11,12
2004-12,12
2005-01,13
2005-02,12
2005-03,13
2005-04,12
2005-05,13
2005-06,14
2005-07,14
2005-08,14
2005-09,12
2005-10,12
2005-11,13
2005-12,12
2006-01,14
2006-02,13
2006-03,13
2006-04,14
2006-05,13
2006-06,14
2006-07,15
2006-08,15
2006-09,15
2006-10,14
2006-11,13
2006-12,15
2007-01,17
2007-02,18
2007-03,19
2007-04,19
2007-05,18
2007-06,20
2007-07,21
2007-08,20
2007-09,20
2007-10,19
2007-11,20
2007-12,20
2008-01,22
2008-02,21
2008-03,22
2008-04,23
2008-05,23
2008-06,26
2008-07,28
2008-08,32
2008-09,42
2008-10,43
2008-11,48
2008-12,54
2009-01,55
2009-02,55
2009-03,59
2009-04,56
2009-05,60
2009-06,67
2009-07,76
2009-08,78
2009-09,80
2009-10,82
2009-11,82
2009-12,87
2010-01,93
2010-02,92
2010-03,97
2010-04,100
2010-05,93
2010-06,87
2010-07,66
2010-08,46
2010-09,48
2010-10,47
2010-11,49
2010-12,55
2011-01,54
2011-02,52
2011-03,41
2011-04,43
2011-05,44
2011-06,52
2011-07,54
2011-08,57
2011-09,55
2011-10,47
2011-11,32
2011-12,33
2012-01,38
2012-02,39
2012-03,32
2012-04,30
2012-05,31
2012-06,36
2012-07,32
2012-08,29
2012-09,31
2012-10,37
2012-11,40
2012-12,41
2013-01,39
2013-02,39
2013-03,40
2013-04,39
2013-05,40
2013-06,40
2013-07,40
2013-08,37
2013-09,38
2013-10,40
2013-11,43
2013-12,40
2014-01,40
2014-02,42
2014-03,43
2014-04,41
2014-05,38
2014-06,39
2014-07,42
2014-08,45
2014-09,41
2014-10,41
2014-11,41
2014-12,47
2015-01,42
2015-02,41
2015-03,40
2015-04,39
2015-05,39
2015-06,41
2015-07,40
2015-08,39
2015-09,35
2015-10,35
2015-11,34
2015-12,37
2016-01,37
2016-02,36
2016-03,34
2016-04,34
2016-05,34
2016-06,37
2016-07,36
2016-08,35
2016-09,32
2016-10,32
2016-11,33
2016-12,33
2017-01,32
2017-02,32
2017-03,32
2017-04,33
2017-05,32
2017-06,31
2017-07,32
2017-08,33
2017-09,31
2017-10,31
2017-11,29
2017-12,33
2018-01,30
2018-02,33
2018-03,31
2018-04,29
2018-05,29
2018-06,31
2018-07,31
2018-08,31
2018-09,30
2018-10,30
2018-11,31
2018-12,31
2019-01,29
2019-02,31
2019-03,31
2019-04,30
2019-05,31
2019-06,31
2019-07,32
2019-08,31
2019-09,29
2019-10,30
2019-11,30
2019-12,30
2020-01,29
2020-02,30
2020-03,28
2020-04,35
2020-05,28
2020-06,28
2020-07,27
2020-08,24
2020-09,25
2020-10,27
2020-11,24
2020-12,28
2021-01,29
2021-02,27
2021-03,32
2021-04,26
2021-05,26
2021-06,26
2021-07,26
2021-08,24
2021-09,24
2021-10,37
