Catastrophe
Category: Finance,
,
Month,catastrophe: (United States)
2004-01,34
2004-02,51
2004-03,43
2004-04,50
2004-05,30
2004-06,31
2004-07,16
2004-08,28
2004-09,54
2004-10,0
2004-11,43
2004-12,25
2005-01,11
2005-02,35
2005-03,0
2005-04,46
2005-05,30
2005-06,42
2005-07,42
2005-08,29
2005-09,100
2005-10,42
2005-11,0
2005-12,41
2006-01,51
2006-02,0
2006-03,20
2006-04,21
2006-05,34
2006-06,28
2006-07,14
2006-08,19
2006-09,44
2006-10,29
2006-11,12
2006-12,12
2007-01,15
2007-02,22
2007-03,14
2007-04,29
2007-05,9
2007-06,10
2007-07,22
2007-08,30
2007-09,26
2007-10,12
2007-11,19
2007-12,12
2008-01,21
2008-02,25
2008-03,25
2008-04,17
2008-05,32
2008-06,19
2008-07,32
2008-08,32
2008-09,56
2008-10,36
2008-11,26
2008-12,29
2009-01,25
2009-02,36
2009-03,35
2009-04,33
2009-05,39
2009-06,24
2009-07,36
2009-08,35
2009-09,29
2009-10,11
2009-11,22
2009-12,27
2010-01,26
2010-02,16
2010-03,32
2010-04,23
2010-05,37
2010-06,27
2010-07,37
2010-08,22
2010-09,30
2010-10,25
2010-11,10
2010-12,14
2011-01,24
2011-02,33
2011-03,29
2011-04,21
2011-05,39
2011-06,36
2011-07,27
2011-08,31
2011-09,41
2011-10,33
2011-11,20
2011-12,27
2012-01,24
2012-02,17
2012-03,28
2012-04,25
2012-05,31
2012-06,28
2012-07,20
2012-08,22
2012-09,30
2012-10,30
2012-11,41
2012-12,15
2013-01,16
2013-02,25
2013-03,17
2013-04,26
2013-05,31
2013-06,25
2013-07,15
2013-08,16
2013-09,15
2013-10,19
2013-11,11
2013-12,12
2014-01,16
2014-02,17
2014-03,19
2014-04,26
2014-05,14
2014-06,18
2014-07,25
2014-08,15
2014-09,25
2014-10,18
2014-11,20
2014-12,19
2015-01,10
2015-02,11
2015-03,17
2015-04,11
2015-05,14
2015-06,22
2015-07,13
2015-08,25
2015-09,15
2015-10,28
2015-11,19
2015-12,10
2016-01,21
2016-02,19
2016-03,21
2016-04,20
2016-05,28
2016-06,19
2016-07,22
2016-08,18
2016-09,25
2016-10,24
2016-11,12
2016-12,12
2017-01,16
2017-02,19
2017-03,14
2017-04,23
2017-05,18
2017-06,24
2017-07,23
2017-08,31
2017-09,61
2017-10,23
2017-11,20
2017-12,19
2018-01,17
2018-02,25
2018-03,19
2018-04,21
2018-05,19
2018-06,25
2018-07,18
2018-08,21
2018-09,38
2018-10,30
2018-11,22
2018-12,15
2019-01,22
2019-02,24
2019-03,29
2019-04,22
2019-05,24
2019-06,21
2019-07,19
2019-08,27
2019-09,17
2019-10,14
2019-11,23
2019-12,17
2020-01,24
2020-02,19
2020-03,21
2020-04,12
2020-05,16
2020-06,15
2020-07,15
2020-08,19
2020-09,14
2020-10,20
2020-11,17
2020-12,13
2021-01,16
2021-02,17
2021-03,25
2021-04,18
2021-05,24
2021-06,16
2021-07,18
2021-08,15
2021-09,31
2021-10,0
