CCI
Category: Finance,
,
Month,Consumer confidence index: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,72
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,26
2008-09,0
2008-10,22
2008-11,0
2008-12,24
2009-01,0
2009-02,48
2009-03,22
2009-04,0
2009-05,0
2009-06,22
2009-07,0
2009-08,22
2009-09,0
2009-10,20
2009-11,21
2009-12,0
2010-01,0
2010-02,0
2010-03,18
2010-04,0
2010-05,19
2010-06,100
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,31
2010-12,31
2011-01,12
2011-02,13
2011-03,11
2011-04,0
2011-05,12
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,31
2011-11,21
2011-12,0
2012-01,0
2012-02,10
2012-03,9
2012-04,10
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,18
2012-10,0
2012-11,17
2012-12,8
2013-01,0
2013-02,8
2013-03,0
2013-04,0
2013-05,8
2013-06,8
2013-07,8
2013-08,15
2013-09,0
2013-10,7
2013-11,0
2013-12,7
2014-01,0
2014-02,0
2014-03,7
2014-04,0
2014-05,8
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,15
2014-11,8
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,8
2015-05,0
2015-06,9
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,16
2015-12,8
2016-01,0
2016-02,0
2016-03,0
2016-04,13
2016-05,6
2016-06,7
2016-07,0
2016-08,0
2016-09,0
2016-10,6
2016-11,6
2016-12,18
2017-01,6
2017-02,6
2017-03,5
2017-04,0
2017-05,0
2017-06,0
2017-07,12
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,6
2018-03,0
2018-04,0
2018-05,0
2018-06,6
2018-07,0
2018-08,6
2018-09,6
2018-10,5
2018-11,6
2018-12,6
2019-01,5
2019-02,0
2019-03,0
2019-04,0
2019-05,5
2019-06,6
2019-07,6
2019-08,0
2019-09,11
2019-10,20
2019-11,0
2019-12,0
2020-01,5
2020-02,0
2020-03,4
2020-04,4
2020-05,0
2020-06,0
2020-07,0
2020-08,5
2020-09,5
2020-10,0
2020-11,0
2020-12,5
2021-01,0
2021-02,0
2021-03,5
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
