Consumer spending
Category: Finance,
,
Month,consumer spending: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,100
2004-08,0
2004-09,84
2004-10,0
2004-11,0
2004-12,80
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,64
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,42
2006-04,0
2006-05,0
2006-06,44
2006-07,43
2006-08,0
2006-09,0
2006-10,0
2006-11,36
2006-12,0
2007-01,32
2007-02,34
2007-03,30
2007-04,0
2007-05,0
2007-06,30
2007-07,28
2007-08,0
2007-09,0
2007-10,24
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,22
2008-04,44
2008-05,44
2008-06,0
2008-07,22
2008-08,0
2008-09,0
2008-10,38
2008-11,0
2008-12,20
2009-01,58
2009-02,20
2009-03,0
2009-04,19
2009-05,19
2009-06,0
2009-07,19
2009-08,18
2009-09,0
2009-10,50
2009-11,18
2009-12,0
2010-01,48
2010-02,0
2010-03,0
2010-04,16
2010-05,0
2010-06,0
2010-07,14
2010-08,0
2010-09,0
2010-10,0
2010-11,26
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,10
2011-05,0
2011-06,20
2011-07,0
2011-08,0
2011-09,0
2011-10,9
2011-11,0
2011-12,0
2012-01,24
2012-02,16
2012-03,8
2012-04,8
2012-05,8
2012-06,0
2012-07,0
2012-08,0
2012-09,8
2012-10,7
2012-11,7
2012-12,0
2013-01,7
2013-02,14
2013-03,6
2013-04,7
2013-05,20
2013-06,14
2013-07,0
2013-08,0
2013-09,13
2013-10,6
2013-11,6
2013-12,6
2014-01,6
2014-02,13
2014-03,6
2014-04,19
2014-05,0
2014-06,7
2014-07,7
2014-08,0
2014-09,0
2014-10,20
2014-11,7
2014-12,20
2015-01,13
2015-02,14
2015-03,7
2015-04,13
2015-05,14
2015-06,7
2015-07,0
2015-08,14
2015-09,7
2015-10,0
2015-11,7
2015-12,13
2016-01,0
2016-02,5
2016-03,5
2016-04,16
2016-05,5
2016-06,6
2016-07,0
2016-08,0
2016-09,5
2016-10,5
2016-11,10
2016-12,5
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,5
2017-06,16
2017-07,16
2017-08,0
2017-09,25
2017-10,0
2017-11,10
2017-12,15
2018-01,0
2018-02,10
2018-03,5
2018-04,5
2018-05,14
2018-06,5
2018-07,0
2018-08,0
2018-09,5
2018-10,0
2018-11,0
2018-12,15
2019-01,9
2019-02,10
2019-03,5
2019-04,0
2019-05,5
2019-06,0
2019-07,0
2019-08,5
2019-09,4
2019-10,4
2019-11,4
2019-12,4
2020-01,4
2020-02,4
2020-03,11
2020-04,15
2020-05,4
2020-06,8
2020-07,20
2020-08,0
2020-09,16
2020-10,4
2020-11,4
2020-12,0
2021-01,4
2021-02,10
2021-03,26
2021-04,23
2021-05,0
2021-06,5
2021-07,5
2021-08,0
2021-09,5
2021-10,0
