Correction of market
Category: Finance,
,
Month,correction of market: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,100
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,73
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,68
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,62
2009-07,0
2009-08,0
2009-09,0
2009-10,55
2009-11,0
2009-12,0
2010-01,53
2010-02,0
2010-03,50
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,71
2011-03,32
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,30
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,26
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,23
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,43
2013-05,0
2013-06,23
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,41
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,64
2014-11,0
2014-12,22
2015-01,22
2015-02,0
2015-03,44
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,23
2015-09,44
2015-10,0
2015-11,22
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,17
2017-03,0
2017-04,32
2017-05,0
2017-06,0
2017-07,17
2017-08,0
2017-09,32
2017-10,0
2017-11,16
2017-12,16
2018-01,0
2018-02,65
2018-03,15
2018-04,31
2018-05,15
2018-06,0
2018-07,16
2018-08,15
2018-09,16
2018-10,30
2018-11,47
2018-12,0
2019-01,15
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,15
2019-12,0
2020-01,14
2020-02,28
2020-03,13
2020-04,0
2020-05,0
2020-06,39
2020-07,13
2020-08,0
2020-09,0
2020-10,0
2020-11,29
2020-12,0
2021-01,14
2021-02,32
2021-03,0
2021-04,15
2021-05,0
2021-06,15
2021-07,45
2021-08,15
2021-09,32
2021-10,0
