coup
Category: Finance,
,
Month,coup: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,94
2004-10,0
2004-11,50
2004-12,0
2005-01,0
2005-02,41
2005-03,0
2005-04,40
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,30
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,22
2006-09,22
2006-10,0
2006-11,20
2006-12,0
2007-01,18
2007-02,0
2007-03,34
2007-04,0
2007-05,0
2007-06,17
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,12
2008-02,0
2008-03,12
2008-04,0
2008-05,0
2008-06,0
2008-07,12
2008-08,12
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,11
2009-02,11
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,9
2009-11,0
2009-12,19
2010-01,18
2010-02,0
2010-03,8
2010-04,9
2010-05,9
2010-06,9
2010-07,0
2010-08,15
2010-09,15
2010-10,7
2010-11,0
2010-12,7
2011-01,0
2011-02,6
2011-03,38
2011-04,11
2011-05,22
2011-06,6
2011-07,6
2011-08,0
2011-09,5
2011-10,24
2011-11,0
2011-12,14
2012-01,4
2012-02,5
2012-03,13
2012-04,9
2012-05,9
2012-06,13
2012-07,22
2012-08,8
2012-09,4
2012-10,8
2012-11,4
2012-12,12
2013-01,18
2013-02,0
2013-03,11
2013-04,11
2013-05,7
2013-06,4
2013-07,15
2013-08,11
2013-09,7
2013-10,7
2013-11,14
2013-12,7
2014-01,3
2014-02,7
2014-03,16
2014-04,17
2014-05,18
2014-06,4
2014-07,12
2014-08,8
2014-09,8
2014-10,18
2014-11,19
2014-12,4
2015-01,15
2015-02,8
2015-03,15
2015-04,11
2015-05,4
2015-06,20
2015-07,12
2015-08,15
2015-09,7
2015-10,4
2015-11,7
2015-12,7
2016-01,9
2016-02,6
2016-03,6
2016-04,27
2016-05,6
2016-06,3
2016-07,100
2016-08,13
2016-09,3
2016-10,17
2016-11,3
2016-12,19
2017-01,5
2017-02,14
2017-03,15
2017-04,11
2017-05,8
2017-06,15
2017-07,9
2017-08,11
2017-09,5
2017-10,8
2017-11,3
2017-12,11
2018-01,15
2018-02,11
2018-03,15
2018-04,11
2018-05,13
2018-06,14
2018-07,5
2018-08,8
2018-09,16
2018-10,8
2018-11,8
2018-12,11
2019-01,10
2019-02,8
2019-03,5
2019-04,11
2019-05,21
2019-06,11
2019-07,13
2019-08,16
2019-09,15
2019-10,5
2019-11,15
2019-12,7
2020-01,14
2020-02,7
2020-03,25
2020-04,8
2020-05,27
2020-06,20
2020-07,18
2020-08,9
2020-09,24
2020-10,7
2020-11,12
2020-12,17
2021-01,48
2021-02,21
2021-03,12
2021-04,8
2021-05,8
2021-06,5
2021-07,23
2021-08,13
2021-09,14
2021-10,81
