multiTimeline (3)
Category: Finance,
,
Month,default: (United States)
2004-01,13
2004-02,42
2004-03,17
2004-04,42
2004-05,26
2004-06,24
2004-07,37
2004-08,27
2004-09,23
2004-10,37
2004-11,33
2004-12,27
2005-01,26
2005-02,37
2005-03,23
2005-04,24
2005-05,26
2005-06,39
2005-07,36
2005-08,23
2005-09,37
2005-10,25
2005-11,35
2005-12,27
2006-01,26
2006-02,41
2006-03,28
2006-04,33
2006-05,30
2006-06,42
2006-07,36
2006-08,36
2006-09,35
2006-10,25
2006-11,28
2006-12,17
2007-01,27
2007-02,43
2007-03,47
2007-04,47
2007-05,31
2007-06,36
2007-07,34
2007-08,37
2007-09,31
2007-10,29
2007-11,36
2007-12,32
2008-01,47
2008-02,47
2008-03,52
2008-04,51
2008-05,33
2008-06,40
2008-07,53
2008-08,39
2008-09,89
2008-10,100
2008-11,65
2008-12,61
2009-01,55
2009-02,70
2009-03,69
2009-04,48
2009-05,48
2009-06,42
2009-07,52
2009-08,38
2009-09,47
2009-10,44
2009-11,38
2009-12,42
2010-01,37
2010-02,55
2010-03,53
2010-04,55
2010-05,47
2010-06,51
2010-07,37
2010-08,42
2010-09,44
2010-10,37
2010-11,35
2010-12,35
2011-01,38
2011-02,38
2011-03,37
2011-04,43
2011-05,39
2011-06,37
2011-07,68
2011-08,41
2011-09,42
2011-10,39
2011-11,38
2011-12,29
2012-01,34
2012-02,39
2012-03,34
2012-04,38
2012-05,37
2012-06,38
2012-07,28
2012-08,33
2012-09,35
2012-10,30
2012-11,30
2012-12,24
2013-01,33
2013-02,33
2013-03,33
2013-04,34
2013-05,28
2013-06,26
2013-07,34
2013-08,26
2013-09,27
2013-10,54
2013-11,26
2013-12,26
2014-01,30
2014-02,35
2014-03,28
2014-04,36
2014-05,32
2014-06,30
2014-07,34
2014-08,30
2014-09,25
2014-10,32
2014-11,23
2014-12,25
2015-01,32
2015-02,28
2015-03,26
2015-04,30
2015-05,28
2015-06,39
2015-07,27
2015-08,26
2015-09,29
2015-10,32
2015-11,26
2015-12,27
2016-01,28
2016-02,34
2016-03,28
2016-04,34
2016-05,27
2016-06,28
2016-07,25
2016-08,26
2016-09,26
2016-10,23
2016-11,26
2016-12,19
2017-01,30
2017-02,32
2017-03,30
2017-04,30
2017-05,29
2017-06,23
2017-07,21
2017-08,24
2017-09,23
2017-10,30
2017-11,25
2017-12,24
2018-01,27
2018-02,31
2018-03,25
2018-04,24
2018-05,24
2018-06,26
2018-07,25
2018-08,26
2018-09,24
2018-10,25
2018-11,25
2018-12,24
2019-01,28
2019-02,33
2019-03,27
2019-04,27
2019-05,23
2019-06,26
2019-07,24
2019-08,25
2019-09,23
2019-10,23
2019-11,27
2019-12,21
2020-01,28
2020-02,33
2020-03,27
2020-04,31
2020-05,25
2020-06,22
2020-07,21
2020-08,24
2020-09,25
2020-10,21
2020-11,16
2020-12,18
2021-01,20
2021-02,24
2021-03,22
2021-04,21
2021-05,17
2021-06,19
2021-07,18
2021-08,16
2021-09,25
2021-10,36
