Delta
Category: Finance,
,
Month,delta: (United States)
2004-01,41
2004-02,37
2004-03,35
2004-04,30
2004-05,34
2004-06,47
2004-07,37
2004-08,29
2004-09,37
2004-10,40
2004-11,43
2004-12,24
2005-01,38
2005-02,39
2005-03,38
2005-04,42
2005-05,35
2005-06,33
2005-07,36
2005-08,38
2005-09,48
2005-10,43
2005-11,42
2005-12,41
2006-01,38
2006-02,43
2006-03,35
2006-04,45
2006-05,33
2006-06,38
2006-07,34
2006-08,38
2006-09,37
2006-10,44
2006-11,43
2006-12,38
2007-01,37
2007-02,38
2007-03,36
2007-04,45
2007-05,49
2007-06,44
2007-07,39
2007-08,46
2007-09,38
2007-10,47
2007-11,33
2007-12,33
2008-01,38
2008-02,35
2008-03,41
2008-04,33
2008-05,35
2008-06,36
2008-07,44
2008-08,44
2008-09,46
2008-10,42
2008-11,34
2008-12,39
2009-01,46
2009-02,50
2009-03,45
2009-04,43
2009-05,43
2009-06,46
2009-07,52
2009-08,55
2009-09,43
2009-10,53
2009-11,49
2009-12,50
2010-01,54
2010-02,50
2010-03,53
2010-04,52
2010-05,54
2010-06,61
2010-07,48
2010-08,50
2010-09,51
2010-10,47
2010-11,47
2010-12,47
2011-01,55
2011-02,60
2011-03,59
2011-04,60
2011-05,56
2011-06,63
2011-07,56
2011-08,64
2011-09,55
2011-10,58
2011-11,59
2011-12,56
2012-01,60
2012-02,56
2012-03,60
2012-04,63
2012-05,61
2012-06,65
2012-07,61
2012-08,60
2012-09,61
2012-10,59
2012-11,56
2012-12,57
2013-01,62
2013-02,60
2013-03,64
2013-04,64
2013-05,65
2013-06,63
2013-07,68
2013-08,64
2013-09,61
2013-10,60
2013-11,60
2013-12,57
2014-01,68
2014-02,68
2014-03,57
2014-04,65
2014-05,62
2014-06,62
2014-07,65
2014-08,64
2014-09,65
2014-10,63
2014-11,58
2014-12,58
2015-01,67
2015-02,68
2015-03,64
2015-04,62
2015-05,53
2015-06,60
2015-07,69
2015-08,66
2015-09,57
2015-10,58
2015-11,54
2015-12,50
2016-01,54
2016-02,54
2016-03,49
2016-04,49
2016-05,47
2016-06,59
2016-07,55
2016-08,57
2016-09,48
2016-10,51
2016-11,49
2016-12,52
2017-01,56
2017-02,54
2017-03,55
2017-04,53
2017-05,55
2017-06,56
2017-07,60
2017-08,55
2017-09,56
2017-10,57
2017-11,54
2017-12,52
2018-01,59
2018-02,62
2018-03,63
2018-04,58
2018-05,59
2018-06,64
2018-07,59
2018-08,62
2018-09,57
2018-10,51
2018-11,55
2018-12,50
2019-01,61
2019-02,60
2019-03,60
2019-04,57
2019-05,56
2019-06,62
2019-07,68
2019-08,64
2019-09,56
2019-10,60
2019-11,57
2019-12,54
2020-01,67
2020-02,66
2020-03,100
2020-04,80
2020-05,64
2020-06,65
2020-07,51
2020-08,48
2020-09,42
2020-10,45
2020-11,39
2020-12,45
2021-01,45
2021-02,49
2021-03,53
2021-04,50
2021-05,50
2021-06,54
2021-07,61
2021-08,54
2021-09,48
2021-10,65
