Depression
Category: Finance,
,
Month,depression: (United States)
2004-01,37
2004-02,0
2004-03,0
2004-04,36
2004-05,49
2004-06,17
2004-07,0
2004-08,31
2004-09,29
2004-10,30
2004-11,15
2004-12,55
2005-01,12
2005-02,51
2005-03,76
2005-04,25
2005-05,0
2005-06,23
2005-07,11
2005-08,0
2005-09,49
2005-10,36
2005-11,28
2005-12,9
2006-01,16
2006-02,0
2006-03,36
2006-04,38
2006-05,29
2006-06,15
2006-07,45
2006-08,41
2006-09,20
2006-10,37
2006-11,19
2006-12,19
2007-01,39
2007-02,35
2007-03,16
2007-04,21
2007-05,29
2007-06,47
2007-07,29
2007-08,18
2007-09,18
2007-10,25
2007-11,29
2007-12,9
2008-01,49
2008-02,39
2008-03,42
2008-04,37
2008-05,26
2008-06,48
2008-07,30
2008-08,19
2008-09,96
2008-10,100
2008-11,46
2008-12,62
2009-01,33
2009-02,87
2009-03,78
2009-04,64
2009-05,51
2009-06,13
2009-07,26
2009-08,19
2009-09,18
2009-10,29
2009-11,27
2009-12,49
2010-01,28
2010-02,43
2010-03,37
2010-04,35
2010-05,34
2010-06,29
2010-07,25
2010-08,33
2010-09,44
2010-10,22
2010-11,20
2010-12,13
2011-01,24
2011-02,30
2011-03,28
2011-04,48
2011-05,22
2011-06,28
2011-07,40
2011-08,27
2011-09,27
2011-10,34
2011-11,29
2011-12,18
2012-01,30
2012-02,18
2012-03,27
2012-04,35
2012-05,25
2012-06,23
2012-07,17
2012-08,24
2012-09,17
2012-10,26
2012-11,29
2012-12,16
2013-01,28
2013-02,17
2013-03,26
2013-04,34
2013-05,18
2013-06,19
2013-07,15
2013-08,28
2013-09,8
2013-10,21
2013-11,18
2013-12,22
2014-01,24
2014-02,27
2014-03,26
2014-04,26
2014-05,35
2014-06,15
2014-07,20
2014-08,18
2014-09,26
2014-10,27
2014-11,21
2014-12,30
2015-01,27
2015-02,31
2015-03,24
2015-04,17
2015-05,22
2015-06,21
2015-07,22
2015-08,17
2015-09,21
2015-10,17
2015-11,25
2015-12,18
2016-01,38
2016-02,25
2016-03,27
2016-04,39
2016-05,24
2016-06,20
2016-07,18
2016-08,23
2016-09,14
2016-10,34
2016-11,29
2016-12,26
2017-01,32
2017-02,34
2017-03,41
2017-04,34
2017-05,41
2017-06,25
2017-07,23
2017-08,30
2017-09,31
2017-10,37
2017-11,27
2017-12,34
2018-01,30
2018-02,30
2018-03,30
2018-04,31
2018-05,26
2018-06,35
2018-07,21
2018-08,26
2018-09,25
2018-10,30
2018-11,23
2018-12,40
2019-01,27
2019-02,33
2019-03,27
2019-04,26
2019-05,30
2019-06,26
2019-07,20
2019-08,34
2019-09,23
2019-10,24
2019-11,35
2019-12,25
2020-01,29
2020-02,40
2020-03,63
2020-04,45
2020-05,35
2020-06,23
2020-07,27
2020-08,25
2020-09,23
2020-10,28
2020-11,20
2020-12,36
2021-01,30
2021-02,30
2021-03,31
2021-04,33
2021-05,26
2021-06,17
2021-07,27
2021-08,17
2021-09,28
2021-10,25
