Earnings
Category: Finance,
,
Month,earnings: (United States)
2004-01,45
2004-02,51
2004-03,36
2004-04,74
2004-05,37
2004-06,52
2004-07,51
2004-08,21
2004-09,43
2004-10,41
2004-11,45
2004-12,36
2005-01,44
2005-02,53
2005-03,34
2005-04,58
2005-05,46
2005-06,35
2005-07,53
2005-08,42
2005-09,32
2005-10,38
2005-11,46
2005-12,42
2006-01,48
2006-02,58
2006-03,38
2006-04,45
2006-05,37
2006-06,30
2006-07,31
2006-08,35
2006-09,54
2006-10,49
2006-11,49
2006-12,45
2007-01,60
2007-02,74
2007-03,40
2007-04,68
2007-05,42
2007-06,43
2007-07,41
2007-08,46
2007-09,44
2007-10,69
2007-11,40
2007-12,45
2008-01,58
2008-02,64
2008-03,55
2008-04,64
2008-05,37
2008-06,39
2008-07,47
2008-08,30
2008-09,55
2008-10,56
2008-11,49
2008-12,43
2009-01,46
2009-02,60
2009-03,62
2009-04,73
2009-05,40
2009-06,34
2009-07,39
2009-08,35
2009-09,52
2009-10,56
2009-11,57
2009-12,48
2010-01,51
2010-02,57
2010-03,54
2010-04,71
2010-05,43
2010-06,37
2010-07,35
2010-08,36
2010-09,42
2010-10,52
2010-11,44
2010-12,41
2011-01,51
2011-02,66
2011-03,47
2011-04,70
2011-05,40
2011-06,32
2011-07,39
2011-08,38
2011-09,57
2011-10,55
2011-11,46
2011-12,38
2012-01,52
2012-02,60
2012-03,43
2012-04,58
2012-05,42
2012-06,34
2012-07,44
2012-08,36
2012-09,59
2012-10,51
2012-11,42
2012-12,36
2013-01,58
2013-02,68
2013-03,45
2013-04,58
2013-05,39
2013-06,30
2013-07,40
2013-08,33
2013-09,61
2013-10,62
2013-11,47
2013-12,44
2014-01,54
2014-02,69
2014-03,52
2014-04,66
2014-05,45
2014-06,32
2014-07,44
2014-08,36
2014-09,62
2014-10,63
2014-11,51
2014-12,45
2015-01,60
2015-02,77
2015-03,61
2015-04,61
2015-05,45
2015-06,32
2015-07,49
2015-08,44
2015-09,68
2015-10,59
2015-11,51
2015-12,47
2016-01,61
2016-02,78
2016-03,52
2016-04,64
2016-05,43
2016-06,36
2016-07,38
2016-08,40
2016-09,63
2016-10,51
2016-11,46
2016-12,39
2017-01,64
2017-02,79
2017-03,52
2017-04,67
2017-05,53
2017-06,37
2017-07,44
2017-08,46
2017-09,62
2017-10,60
2017-11,58
2017-12,53
2018-01,72
2018-02,82
2018-03,51
2018-04,65
2018-05,56
2018-06,40
2018-07,51
2018-08,53
2018-09,62
2018-10,65
2018-11,53
2018-12,39
2019-01,62
2019-02,85
2019-03,54
2019-04,69
2019-05,51
2019-06,36
2019-07,48
2019-08,51
2019-09,69
2019-10,69
2019-11,48
2019-12,40
2020-01,66
2020-02,84
2020-03,51
2020-04,86
2020-05,73
2020-06,50
2020-07,74
2020-08,68
2020-09,85
2020-10,69
2020-11,56
2020-12,49
2021-01,70
2021-02,100
2021-03,62
2021-04,65
2021-05,57
2021-06,33
2021-07,47
2021-08,48
2021-09,65
2021-10,66
