Leading Indicators
Category: Finance,
,
Month,leading indicators: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,74
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,48
2005-04,55
2005-05,0
2005-06,100
2005-07,0
2005-08,0
2005-09,0
2005-10,40
2005-11,0
2005-12,0
2006-01,35
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,30
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,21
2007-06,0
2007-07,21
2007-08,0
2007-09,0
2007-10,18
2007-11,0
2007-12,19
2008-01,17
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,18
2008-07,50
2008-08,17
2008-09,0
2008-10,0
2008-11,16
2008-12,0
2009-01,15
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,28
2009-08,14
2009-09,27
2009-10,25
2009-11,0
2009-12,26
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,26
2010-07,0
2010-08,10
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,7
2011-04,8
2011-05,7
2011-06,8
2011-07,0
2011-08,7
2011-09,7
2011-10,13
2011-11,13
2011-12,0
2012-01,0
2012-02,6
2012-03,6
2012-04,6
2012-05,6
2012-06,12
2012-07,6
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,5
2013-01,0
2013-02,5
2013-03,0
2013-04,5
2013-05,5
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,5
2013-12,5
2014-01,5
2014-02,5
2014-03,4
2014-04,9
2014-05,0
2014-06,6
2014-07,0
2014-08,11
2014-09,0
2014-10,5
2014-11,0
2014-12,10
2015-01,0
2015-02,0
2015-03,5
2015-04,5
2015-05,5
2015-06,6
2015-07,5
2015-08,10
2015-09,5
2015-10,0
2015-11,5
2015-12,0
2016-01,0
2016-02,8
2016-03,4
2016-04,0
2016-05,0
2016-06,4
2016-07,4
2016-08,0
2016-09,4
2016-10,8
2016-11,12
2016-12,4
2017-01,0
2017-02,0
2017-03,3
2017-04,0
2017-05,0
2017-06,4
2017-07,0
2017-08,0
2017-09,0
2017-10,4
2017-11,0
2017-12,4
2018-01,4
2018-02,4
2018-03,0
2018-04,0
2018-05,0
2018-06,4
2018-07,0
2018-08,4
2018-09,4
2018-10,0
2018-11,4
2018-12,4
2019-01,0
2019-02,0
2019-03,0
2019-04,4
2019-05,11
2019-06,0
2019-07,0
2019-08,7
2019-09,3
2019-10,10
2019-11,0
2019-12,3
2020-01,0
2020-02,3
2020-03,3
2020-04,6
2020-05,6
2020-06,3
2020-07,3
2020-08,0
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,3
2021-02,4
2021-03,0
2021-04,3
2021-05,7
2021-06,7
2021-07,0
2021-08,3
2021-09,0
2021-10,0
