Liquidity
Category: Finance,
,
Month,liquidity: (United States)
2004-01,36
2004-02,79
2004-03,79
2004-04,43
2004-05,24
2004-06,24
2004-07,50
2004-08,44
2004-09,63
2004-10,50
2004-11,22
2004-12,66
2005-01,35
2005-02,43
2005-03,58
2005-04,54
2005-05,48
2005-06,88
2005-07,54
2005-08,25
2005-09,52
2005-10,35
2005-11,63
2005-12,39
2006-01,31
2006-02,75
2006-03,49
2006-04,62
2006-05,56
2006-06,59
2006-07,40
2006-08,23
2006-09,42
2006-10,57
2006-11,51
2006-12,48
2007-01,29
2007-02,59
2007-03,43
2007-04,33
2007-05,52
2007-06,48
2007-07,63
2007-08,89
2007-09,78
2007-10,64
2007-11,46
2007-12,60
2008-01,28
2008-02,59
2008-03,79
2008-04,60
2008-05,47
2008-06,40
2008-07,46
2008-08,50
2008-09,100
2008-10,84
2008-11,84
2008-12,67
2009-01,67
2009-02,76
2009-03,91
2009-04,62
2009-05,53
2009-06,42
2009-07,51
2009-08,50
2009-09,48
2009-10,34
2009-11,63
2009-12,39
2010-01,48
2010-02,46
2010-03,57
2010-04,49
2010-05,55
2010-06,41
2010-07,52
2010-08,25
2010-09,40
2010-10,54
2010-11,38
2010-12,36
2011-01,24
2011-02,51
2011-03,43
2011-04,55
2011-05,44
2011-06,31
2011-07,31
2011-08,27
2011-09,49
2011-10,35
2011-11,42
2011-12,43
2012-01,40
2012-02,49
2012-03,38
2012-04,40
2012-05,39
2012-06,40
2012-07,34
2012-08,27
2012-09,46
2012-10,47
2012-11,54
2012-12,32
2013-01,31
2013-02,50
2013-03,38
2013-04,37
2013-05,42
2013-06,32
2013-07,31
2013-08,30
2013-09,42
2013-10,51
2013-11,30
2013-12,31
2014-01,40
2014-02,50
2014-03,48
2014-04,45
2014-05,36
2014-06,34
2014-07,33
2014-08,26
2014-09,52
2014-10,42
2014-11,45
2014-12,50
2015-01,42
2015-02,45
2015-03,55
2015-04,50
2015-05,43
2015-06,36
2015-07,41
2015-08,35
2015-09,52
2015-10,44
2015-11,48
2015-12,46
2016-01,44
2016-02,48
2016-03,47
2016-04,46
2016-05,38
2016-06,33
2016-07,32
2016-08,28
2016-09,41
2016-10,47
2016-11,36
2016-12,27
2017-01,37
2017-02,44
2017-03,47
2017-04,43
2017-05,43
2017-06,34
2017-07,25
2017-08,25
2017-09,42
2017-10,50
2017-11,49
2017-12,43
2018-01,43
2018-02,49
2018-03,41
2018-04,43
2018-05,42
2018-06,30
2018-07,27
2018-08,31
2018-09,44
2018-10,43
2018-11,43
2018-12,40
2019-01,29
2019-02,47
2019-03,44
2019-04,52
2019-05,48
2019-06,34
2019-07,27
2019-08,35
2019-09,44
2019-10,49
2019-11,35
2019-12,36
2020-01,33
2020-02,52
2020-03,83
2020-04,77
2020-05,59
2020-06,45
2020-07,41
2020-08,41
2020-09,57
2020-10,48
2020-11,46
2020-12,46
2021-01,71
2021-02,82
2021-03,65
2021-04,65
2021-05,73
2021-06,50
2021-07,36
2021-08,35
2021-09,52
2021-10,49
