Market crash
Category: Finance,
,
Month,market crash: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,4
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,3
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,3
2005-10,0
2005-11,0
2005-12,0
2006-01,4
2006-02,2
2006-03,0
2006-04,0
2006-05,4
2006-06,0
2006-07,0
2006-08,2
2006-09,0
2006-10,2
2006-11,2
2006-12,0
2007-01,0
2007-02,5
2007-03,4
2007-04,1
2007-05,0
2007-06,0
2007-07,1
2007-08,3
2007-09,4
2007-10,2
2007-11,2
2007-12,2
2008-01,5
2008-02,0
2008-03,4
2008-04,1
2008-05,2
2008-06,3
2008-07,1
2008-08,1
2008-09,9
2008-10,7
2008-11,3
2008-12,2
2009-01,4
2009-02,6
2009-03,6
2009-04,3
2009-05,0
2009-06,1
2009-07,1
2009-08,3
2009-09,2
2009-10,1
2009-11,3
2009-12,0
2010-01,3
2010-02,1
2010-03,1
2010-04,1
2010-05,4
2010-06,2
2010-07,1
2010-08,1
2010-09,2
2010-10,1
2010-11,1
2010-12,2
2011-01,4
2011-02,2
2011-03,4
2011-04,4
2011-05,3
2011-06,2
2011-07,2
2011-08,8
2011-09,4
2011-10,<1
2011-11,2
2011-12,1
2012-01,2
2012-02,1
2012-03,3
2012-04,4
2012-05,2
2012-06,4
2012-07,2
2012-08,1
2012-09,1
2012-10,2
2012-11,3
2012-12,1
2013-01,2
2013-02,2
2013-03,2
2013-04,4
2013-05,2
2013-06,4
2013-07,3
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,3
2014-01,3
2014-02,3
2014-03,3
2014-04,4
2014-05,2
2014-06,3
2014-07,2
2014-08,3
2014-09,5
2014-10,4
2014-11,1
2014-12,2
2015-01,3
2015-02,2
2015-03,3
2015-04,4
2015-05,3
2015-06,5
2015-07,4
2015-08,18
2015-09,8
2015-10,3
2015-11,4
2015-12,3
2016-01,11
2016-02,4
2016-03,3
2016-04,3
2016-05,4
2016-06,6
2016-07,2
2016-08,2
2016-09,4
2016-10,3
2016-11,10
2016-12,5
2017-01,5
2017-02,3
2017-03,5
2017-04,4
2017-05,3
2017-06,4
2017-07,3
2017-08,6
2017-09,5
2017-10,5
2017-11,6
2017-12,6
2018-01,8
2018-02,100
2018-03,10
2018-04,5
2018-05,5
2018-06,5
2018-07,3
2018-08,7
2018-09,5
2018-10,14
2018-11,6
2018-12,50
2019-01,8
2019-02,4
2019-03,7
2019-04,6
2019-05,10
2019-06,3
2019-07,4
2019-08,9
2019-09,5
2019-10,4
2019-11,5
2019-12,4
2020-01,5
2020-02,17
2020-03,40
2020-04,12
2020-05,8
2020-06,8
2020-07,8
2020-08,6
2020-09,7
2020-10,8
2020-11,6
2020-12,6
2021-01,12
2021-02,15
2021-03,7
2021-04,7
2021-05,9
2021-06,4
2021-07,8
2021-08,5
2021-09,7
2021-10,0
