Monetary polie
Category: Finance,
,
Month,monetary policy: (United States)
2004-01,0
2004-02,74
2004-03,0
2004-04,0
2004-05,100
2004-06,34
2004-07,0
2004-08,62
2004-09,29
2004-10,0
2004-11,0
2004-12,28
2005-01,24
2005-02,52
2005-03,44
2005-04,50
2005-05,0
2005-06,0
2005-07,23
2005-08,21
2005-09,0
2005-10,0
2005-11,19
2005-12,0
2006-01,16
2006-02,17
2006-03,44
2006-04,15
2006-05,0
2006-06,15
2006-07,0
2006-08,14
2006-09,14
2006-10,25
2006-11,38
2006-12,25
2007-01,0
2007-02,35
2007-03,0
2007-04,43
2007-05,59
2007-06,21
2007-07,20
2007-08,0
2007-09,0
2007-10,25
2007-11,25
2007-12,0
2008-01,0
2008-02,16
2008-03,0
2008-04,53
2008-05,23
2008-06,41
2008-07,0
2008-08,8
2008-09,7
2008-10,7
2008-11,29
2008-12,21
2009-01,13
2009-02,21
2009-03,26
2009-04,65
2009-05,13
2009-06,20
2009-07,0
2009-08,6
2009-09,13
2009-10,18
2009-11,25
2009-12,24
2010-01,45
2010-02,29
2010-03,27
2010-04,50
2010-05,29
2010-06,12
2010-07,5
2010-08,14
2010-09,14
2010-10,32
2010-11,9
2010-12,32
2011-01,14
2011-02,23
2011-03,17
2011-04,22
2011-05,10
2011-06,28
2011-07,18
2011-08,13
2011-09,19
2011-10,6
2011-11,37
2011-12,18
2012-01,11
2012-02,20
2012-03,41
2012-04,48
2012-05,24
2012-06,14
2012-07,16
2012-08,8
2012-09,24
2012-10,12
2012-11,30
2012-12,34
2013-01,9
2013-02,25
2013-03,25
2013-04,39
2013-05,36
2013-06,19
2013-07,9
2013-08,18
2013-09,9
2013-10,15
2013-11,18
2013-12,9
2014-01,11
2014-02,25
2014-03,31
2014-04,26
2014-05,18
2014-06,18
2014-07,7
2014-08,2
2014-09,10
2014-10,30
2014-11,19
2014-12,26
2015-01,23
2015-02,34
2015-03,16
2015-04,23
2015-05,29
2015-06,20
2015-07,7
2015-08,12
2015-09,12
2015-10,11
2015-11,19
2015-12,43
2016-01,15
2016-02,23
2016-03,27
2016-04,30
2016-05,35
2016-06,17
2016-07,14
2016-08,4
2016-09,13
2016-10,11
2016-11,22
2016-12,21
2017-01,14
2017-02,23
2017-03,22
2017-04,27
2017-05,21
2017-06,7
2017-07,6
2017-08,9
2017-09,12
2017-10,16
2017-11,23
2017-12,29
2018-01,11
2018-02,7
2018-03,14
2018-04,31
2018-05,26
2018-06,19
2018-07,8
2018-08,8
2018-09,7
2018-10,15
2018-11,22
2018-12,15
2019-01,8
2019-02,12
2019-03,14
2019-04,27
2019-05,19
2019-06,9
2019-07,7
2019-08,15
2019-09,9
2019-10,22
2019-11,22
2019-12,24
2020-01,19
2020-02,14
2020-03,23
2020-04,18
2020-05,17
2020-06,8
2020-07,6
2020-08,1
2020-09,11
2020-10,20
2020-11,8
2020-12,11
2021-01,11
2021-02,5
2021-03,18
2021-04,17
2021-05,17
2021-06,5
2021-07,10
2021-08,14
2021-09,14
2021-10,0
