Natural disaster
Category: Finance,
,
Month,natural disaster: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,27
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,18
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,16
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,12
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,10
2006-11,10
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,7
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,6
2008-10,0
2008-11,6
2008-12,0
2009-01,0
2009-02,6
2009-03,10
2009-04,5
2009-05,5
2009-06,0
2009-07,5
2009-08,5
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,5
2010-03,4
2010-04,9
2010-05,0
2010-06,0
2010-07,4
2010-08,0
2010-09,4
2010-10,4
2010-11,0
2010-12,0
2011-01,0
2011-02,3
2011-03,5
2011-04,0
2011-05,3
2011-06,3
2011-07,3
2011-08,3
2011-09,3
2011-10,7
2011-11,0
2011-12,5
2012-01,4
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,2
2012-10,4
2012-11,2
2012-12,2
2013-01,0
2013-02,2
2013-03,0
2013-04,4
2013-05,2
2013-06,0
2013-07,0
2013-08,2
2013-09,2
2013-10,0
2013-11,2
2013-12,0
2014-01,5
2014-02,0
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,2
2015-02,2
2015-03,4
2015-04,0
2015-05,0
2015-06,0
2015-07,4
2015-08,0
2015-09,0
2015-10,0
2015-11,2
2015-12,0
2016-01,1
2016-02,3
2016-03,3
2016-04,4
2016-05,3
2016-06,0
2016-07,0
2016-08,5
2016-09,3
2016-10,4
2016-11,1
2016-12,3
2017-01,4
2017-02,1
2017-03,5
2017-04,3
2017-05,1
2017-06,4
2017-07,1
2017-08,7
2017-09,43
2017-10,14
2017-11,4
2017-12,4
2018-01,17
2018-02,15
2018-03,9
2018-04,5
2018-05,8
2018-06,3
2018-07,4
2018-08,3
2018-09,5
2018-10,4
2018-11,11
2018-12,4
2019-01,1
2019-02,3
2019-03,5
2019-04,5
2019-05,5
2019-06,4
2019-07,3
2019-08,3
2019-09,3
2019-10,4
2019-11,2
2019-12,4
2020-01,3
2020-02,7
2020-03,16
2020-04,18
2020-05,2
2020-06,7
2020-07,6
2020-08,1
2020-09,5
2020-10,7
2020-11,4
2020-12,4
2021-01,32
2021-02,100
2021-03,29
2021-04,15
2021-05,18
2021-06,7
2021-07,6
2021-08,5
2021-09,7
2021-10,0
