Shock
Category: Finance,
,
Month,shock: (United States)
2004-01,34
2004-02,0
2004-03,85
2004-04,33
2004-05,30
2004-06,0
2004-07,0
2004-08,28
2004-09,0
2004-10,0
2004-11,0
2004-12,100
2005-01,22
2005-02,23
2005-03,59
2005-04,0
2005-05,20
2005-06,21
2005-07,20
2005-08,0
2005-09,0
2005-10,0
2005-11,34
2005-12,16
2006-01,14
2006-02,15
2006-03,92
2006-04,42
2006-05,13
2006-06,56
2006-07,0
2006-08,38
2006-09,25
2006-10,45
2006-11,23
2006-12,11
2007-01,20
2007-02,21
2007-03,38
2007-04,48
2007-05,18
2007-06,29
2007-07,18
2007-08,25
2007-09,17
2007-10,15
2007-11,30
2007-12,8
2008-01,14
2008-02,21
2008-03,28
2008-04,27
2008-05,41
2008-06,15
2008-07,7
2008-08,21
2008-09,46
2008-10,29
2008-11,6
2008-12,13
2009-01,18
2009-02,6
2009-03,23
2009-04,18
2009-05,12
2009-06,6
2009-07,18
2009-08,12
2009-09,28
2009-10,32
2009-11,28
2009-12,32
2010-01,35
2010-02,21
2010-03,29
2010-04,45
2010-05,52
2010-06,5
2010-07,14
2010-08,17
2010-09,17
2010-10,16
2010-11,16
2010-12,28
2011-01,26
2011-02,20
2011-03,30
2011-04,19
2011-05,15
2011-06,19
2011-07,25
2011-08,15
2011-09,26
2011-10,22
2011-11,22
2011-12,22
2012-01,12
2012-02,31
2012-03,42
2012-04,36
2012-05,37
2012-06,86
2012-07,44
2012-08,19
2012-09,31
2012-10,22
2012-11,22
2012-12,18
2013-01,33
2013-02,29
2013-03,38
2013-04,37
2013-05,18
2013-06,39
2013-07,25
2013-08,26
2013-09,23
2013-10,33
2013-11,26
2013-12,28
2014-01,34
2014-02,39
2014-03,28
2014-04,25
2014-05,31
2014-06,14
2014-07,45
2014-08,27
2014-09,19
2014-10,57
2014-11,28
2014-12,21
2015-01,41
2015-02,24
2015-03,36
2015-04,40
2015-05,24
2015-06,21
2015-07,33
2015-08,37
2015-09,34
2015-10,22
2015-11,10
2015-12,24
2016-01,30
2016-02,36
2016-03,25
2016-04,28
2016-05,25
2016-06,23
2016-07,30
2016-08,27
2016-09,15
2016-10,26
2016-11,15
2016-12,33
2017-01,27
2017-02,34
2017-03,30
2017-04,19
2017-05,28
2017-06,40
2017-07,25
2017-08,20
2017-09,20
2017-10,21
2017-11,32
2017-12,14
2018-01,22
2018-02,25
2018-03,37
2018-04,28
2018-05,28
2018-06,33
2018-07,17
2018-08,22
2018-09,20
2018-10,20
2018-11,26
2018-12,23
2019-01,26
2019-02,26
2019-03,27
2019-04,24
2019-05,15
2019-06,16
2019-07,10
2019-08,18
2019-09,21
2019-10,19
2019-11,18
2019-12,16
2020-01,25
2020-02,22
2020-03,37
2020-04,26
2020-05,28
2020-06,23
2020-07,24
2020-08,20
2020-09,25
2020-10,24
2020-11,26
2020-12,28
2021-01,19
2021-02,26
2021-03,20
2021-04,33
2021-05,16
2021-06,21
2021-07,31
2021-08,24
2021-09,20
2021-10,0
