multiTimeline (17)
Category: Finance,
,
Month,unemployment: (United States)
2004-01,6
2004-02,5
2004-03,7
2004-04,6
2004-05,6
2004-06,5
2004-07,3
2004-08,4
2004-09,4
2004-10,4
2004-11,5
2004-12,6
2005-01,10
2005-02,6
2005-03,6
2005-04,6
2005-05,5
2005-06,6
2005-07,8
2005-08,3
2005-09,4
2005-10,4
2005-11,4
2005-12,4
2006-01,9
2006-02,6
2006-03,4
2006-04,6
2006-05,4
2006-06,5
2006-07,5
2006-08,5
2006-09,5
2006-10,5
2006-11,5
2006-12,6
2007-01,9
2007-02,6
2007-03,7
2007-04,8
2007-05,4
2007-06,5
2007-07,5
2007-08,6
2007-09,3
2007-10,5
2007-11,4
2007-12,5
2008-01,11
2008-02,6
2008-03,6
2008-04,9
2008-05,4
2008-06,5
2008-07,6
2008-08,6
2008-09,8
2008-10,9
2008-11,8
2008-12,11
2009-01,15
2009-02,17
2009-03,16
2009-04,17
2009-05,10
2009-06,11
2009-07,11
2009-08,9
2009-09,11
2009-10,13
2009-11,13
2009-12,13
2010-01,25
2010-02,19
2010-03,18
2010-04,18
2010-05,9
2010-06,12
2010-07,15
2010-08,9
2010-09,9
2010-10,11
2010-11,11
2010-12,13
2011-01,28
2011-02,21
2011-03,13
2011-04,14
2011-05,9
2011-06,11
2011-07,12
2011-08,12
2011-09,11
2011-10,10
2011-11,10
2011-12,11
2012-01,23
2012-02,18
2012-03,12
2012-04,13
2012-05,10
2012-06,8
2012-07,10
2012-08,9
2012-09,7
2012-10,10
2012-11,9
2012-12,10
2013-01,20
2013-02,16
2013-03,12
2013-04,12
2013-05,8
2013-06,9
2013-07,10
2013-08,8
2013-09,7
2013-10,10
2013-11,8
2013-12,10
2014-01,20
2014-02,17
2014-03,11
2014-04,12
2014-05,8
2014-06,8
2014-07,8
2014-08,6
2014-09,6
2014-10,6
2014-11,6
2014-12,7
2015-01,14
2015-02,11
2015-03,8
2015-04,8
2015-05,6
2015-06,6
2015-07,7
2015-08,6
2015-09,5
2015-10,6
2015-11,7
2015-12,6
2016-01,12
2016-02,12
2016-03,9
2016-04,8
2016-05,6
2016-06,5
2016-07,6
2016-08,5
2016-09,6
2016-10,6
2016-11,6
2016-12,6
2017-01,12
2017-02,10
2017-03,7
2017-04,7
2017-05,5
2017-06,6
2017-07,6
2017-08,5
2017-09,6
2017-10,6
2017-11,5
2017-12,6
2018-01,11
2018-02,11
2018-03,7
2018-04,7
2018-05,5
2018-06,4
2018-07,5
2018-08,5
2018-09,4
2018-10,6
2018-11,5
2018-12,5
2019-01,10
2019-02,10
2019-03,7
2019-04,7
2019-05,5
2019-06,5
2019-07,6
2019-08,4
2019-09,5
2019-10,5
2019-11,5
2019-12,6
2020-01,10
2020-02,10
2020-03,41
2020-04,100
2020-05,69
2020-06,57
2020-07,55
2020-08,45
2020-09,35
2020-10,30
2020-11,24
2020-12,33
2021-01,71
2021-02,70
2021-03,89
2021-04,66
2021-05,93
2021-06,69
2021-07,61
2021-08,36
2021-09,22
2021-10,18
