vaccination
Category: Finance,
,
Month,vaccination: (United States)
2004-01,26
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,16
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,20
2006-04,0
2006-05,0
2006-06,11
2006-07,0
2006-08,0
2006-09,0
2006-10,9
2006-11,0
2006-12,0
2007-01,8
2007-02,0
2007-03,0
2007-04,0
2007-05,7
2007-06,7
2007-07,7
2007-08,6
2007-09,0
2007-10,0
2007-11,6
2007-12,6
2008-01,0
2008-02,0
2008-03,5
2008-04,0
2008-05,11
2008-06,6
2008-07,0
2008-08,5
2008-09,10
2008-10,5
2008-11,0
2008-12,0
2009-01,0
2009-02,5
2009-03,9
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,8
2009-11,4
2009-12,4
2010-01,0
2010-02,4
2010-03,7
2010-04,11
2010-05,0
2010-06,8
2010-07,0
2010-08,0
2010-09,3
2010-10,0
2010-11,0
2010-12,0
2011-01,7
2011-02,3
2011-03,0
2011-04,2
2011-05,2
2011-06,5
2011-07,0
2011-08,0
2011-09,4
2011-10,2
2011-11,2
2011-12,2
2012-01,0
2012-02,0
2012-03,4
2012-04,0
2012-05,2
2012-06,0
2012-07,2
2012-08,4
2012-09,4
2012-10,2
2012-11,0
2012-12,0
2013-01,2
2013-02,3
2013-03,2
2013-04,3
2013-05,0
2013-06,0
2013-07,3
2013-08,0
2013-09,2
2013-10,0
2013-11,2
2013-12,0
2014-01,1
2014-02,0
2014-03,6
2014-04,3
2014-05,0
2014-06,2
2014-07,0
2014-08,0
2014-09,2
2014-10,0
2014-11,0
2014-12,2
2015-01,2
2015-02,13
2015-03,2
2015-04,3
2015-05,2
2015-06,3
2015-07,5
2015-08,7
2015-09,3
2015-10,5
2015-11,5
2015-12,2
2016-01,5
2016-02,3
2016-03,2
2016-04,4
2016-05,1
2016-06,0
2016-07,4
2016-08,4
2016-09,3
2016-10,1
2016-11,4
2016-12,4
2017-01,3
2017-02,4
2017-03,3
2017-04,5
2017-05,6
2017-06,6
2017-07,4
2017-08,1
2017-09,1
2017-10,8
2017-11,0
2017-12,0
2018-01,1
2018-02,2
2018-03,2
2018-04,0
2018-05,1
2018-06,4
2018-07,2
2018-08,2
2018-09,3
2018-10,4
2018-11,6
2018-12,1
2019-01,2
2019-02,4
2019-03,1
2019-04,5
2019-05,2
2019-06,1
2019-07,3
2019-08,6
2019-09,6
2019-10,2
2019-11,2
2019-12,0
2020-01,3
2020-02,3
2020-03,1
2020-04,4
2020-05,6
2020-06,2
2020-07,3
2020-08,2
2020-09,4
2020-10,4
2020-11,2
2020-12,9
2021-01,54
2021-02,38
2021-03,58
2021-04,52
2021-05,65
2021-06,70
2021-07,67
2021-08,100
2021-09,71
2021-10,70
