multiTimeline (11)
Category: Finance,
,
Month,war: (United States)
2004-01,50
2004-02,41
2004-03,63
2004-04,40
2004-05,73
2004-06,22
2004-07,77
2004-08,75
2004-09,58
2004-10,40
2004-11,21
2004-12,37
2005-01,43
2005-02,34
2005-03,58
2005-04,83
2005-05,49
2005-06,36
2005-07,55
2005-08,42
2005-09,44
2005-10,41
2005-11,38
2005-12,32
2006-01,32
2006-02,44
2006-03,61
2006-04,58
2006-05,39
2006-06,31
2006-07,40
2006-08,34
2006-09,45
2006-10,31
2006-11,39
2006-12,50
2007-01,62
2007-02,60
2007-03,51
2007-04,50
2007-05,57
2007-06,40
2007-07,22
2007-08,25
2007-09,37
2007-10,50
2007-11,54
2007-12,33
2008-01,68
2008-02,51
2008-03,56
2008-04,54
2008-05,51
2008-06,47
2008-07,46
2008-08,37
2008-09,70
2008-10,54
2008-11,69
2008-12,53
2009-01,50
2009-02,42
2009-03,66
2009-04,39
2009-05,46
2009-06,38
2009-07,40
2009-08,35
2009-09,43
2009-10,54
2009-11,49
2009-12,46
2010-01,37
2010-02,39
2010-03,59
2010-04,65
2010-05,34
2010-06,34
2010-07,23
2010-08,25
2010-09,36
2010-10,43
2010-11,49
2010-12,57
2011-01,53
2011-02,47
2011-03,52
2011-04,64
2011-05,36
2011-06,46
2011-07,47
2011-08,32
2011-09,46
2011-10,52
2011-11,43
2011-12,54
2012-01,50
2012-02,57
2012-03,52
2012-04,46
2012-05,39
2012-06,36
2012-07,33
2012-08,38
2012-09,37
2012-10,45
2012-11,39
2012-12,36
2013-01,48
2013-02,52
2013-03,55
2013-04,46
2013-05,43
2013-06,48
2013-07,42
2013-08,42
2013-09,46
2013-10,35
2013-11,37
2013-12,35
2014-01,38
2014-02,34
2014-03,45
2014-04,37
2014-05,36
2014-06,35
2014-07,39
2014-08,49
2014-09,42
2014-10,50
2014-11,43
2014-12,53
2015-01,53
2015-02,58
2015-03,64
2015-04,57
2015-05,41
2015-06,50
2015-07,49
2015-08,42
2015-09,54
2015-10,50
2015-11,48
2015-12,60
2016-01,41
2016-02,54
2016-03,61
2016-04,49
2016-05,62
2016-06,43
2016-07,40
2016-08,45
2016-09,45
2016-10,50
2016-11,43
2016-12,42
2017-01,52
2017-02,53
2017-03,52
2017-04,61
2017-05,51
2017-06,31
2017-07,45
2017-08,45
2017-09,40
2017-10,46
2017-11,47
2017-12,50
2018-01,45
2018-02,50
2018-03,63
2018-04,100
2018-05,80
2018-06,68
2018-07,63
2018-08,51
2018-09,62
2018-10,54
2018-11,64
2018-12,46
2019-01,56
2019-02,55
2019-03,54
2019-04,51
2019-05,87
2019-06,62
2019-07,43
2019-08,70
2019-09,49
2019-10,54
2019-11,55
2019-12,46
2020-01,88
2020-02,45
2020-03,79
2020-04,65
2020-05,53
2020-06,50
2020-07,41
2020-08,43
2020-09,44
2020-10,41
2020-11,59
2020-12,46
2021-01,55
2021-02,48
2021-03,43
2021-04,41
2021-05,41
2021-06,37
2021-07,52
2021-08,38
2021-09,41
2021-10,11
