DATE,CPI
1959-01-01,344.8
1959-02-01,345.1
1959-03-01,345.1
1959-04-01,344.8
1959-05-01,344.5
1959-06-01,342.7
1959-07-01,342.1
1959-08-01,342.4
1959-09-01,341.2
1959-10-01,340
1959-11-01,340
1959-12-01,340
1960-01-01,340.6
1960-02-01,340
1960-03-01,340
1960-04-01,338.2
1960-05-01,338.2
1960-06-01,337.3
1960-07-01,337.3
1960-08-01,337.3
1960-09-01,337
1960-10-01,335.5
1960-11-01,335.2
1960-12-01,335.2
1961-01-01,335.2
1961-02-01,335.2
1961-03-01,335.2
1961-04-01,335.2
1961-05-01,335.2
1961-06-01,334.9
1961-07-01,333.4
1961-08-01,333.7
1961-09-01,332.8
1961-10-01,332.8
1961-11-01,332.8
1961-12-01,332.8
1962-01-01,332.8
1962-02-01,332.2
1962-03-01,331.3
1962-04-01,330.7
1962-05-01,330.7
1962-06-01,330.7
1962-07-01,330.1
1962-08-01,330.1
1962-09-01,328
1962-10-01,328.6
1962-11-01,328.6
1962-12-01,328.9
1963-01-01,328.6
1963-02-01,328
1963-03-01,327.7
1963-04-01,327.7
1963-05-01,327.7
1963-06-01,326.5
1963-07-01,325
1963-08-01,325
1963-09-01,325
1963-10-01,324.7
1963-11-01,324.1
1963-12-01,323.5
1964-01-01,323.2
1964-02-01,323.5
1964-03-01,323.2
1964-04-01,322.9
1964-05-01,322.9
1964-06-01,322
1964-07-01,321.4
1964-08-01,321.7
1964-09-01,321.1
1964-10-01,320.8
1964-11-01,320.2
1964-12-01,319.6
1965-01-01,319.6
1965-02-01,319.6
1965-03-01,319.3
1965-04-01,318.4
1965-05-01,317.8
1965-06-01,316
1965-07-01,315.7
1965-08-01,316.3
1965-09-01,315.7
1965-10-01,315.4
1965-11-01,314.8
1965-12-01,313.6
1966-01-01,313.6
1966-02-01,311.8
1966-03-01,310.6
1966-04-01,309.5
1966-05-01,309.2
1966-06-01,308.3
1966-07-01,307.4
1966-08-01,305.6
1966-09-01,305
1966-10-01,303.8
1966-11-01,303.8
1966-12-01,303.5
1967-01-01,303.5
1967-02-01,303.2
1967-03-01,302.6
1967-04-01,302
1967-05-01,301.1
1967-06-01,300.2
1967-07-01,298.7
1967-08-01,297.8
1967-09-01,297.2
1967-10-01,296.3
1967-11-01,295.4
1967-12-01,294.5
1968-01-01,293.3
1968-02-01,292.7
1968-03-01,291.2
1968-04-01,290.3
1968-05-01,289.4
1968-06-01,287.9
1968-07-01,286.4
1968-08-01,285.5
1968-09-01,284.6
1968-10-01,283.1
1968-11-01,282.2
1968-12-01,281.3
1969-01-01,280.4
1969-02-01,279.5
1969-03-01,277.1
1969-04-01,275.3
1969-05-01,274.4
1969-06-01,272.9
1969-07-01,271.4
1969-08-01,270.2
1969-09-01,269
1969-10-01,268.2
1969-11-01,266.7
1969-12-01,265.2
1970-01-01,264.3
1970-02-01,262.8
1970-03-01,261.3
1970-04-01,259.8
1970-05-01,258.6
1970-06-01,257.4
1970-07-01,256.5
1970-08-01,255.9
1970-09-01,254.7
1970-10-01,253.5
1970-11-01,252.6
1970-12-01,251.4
1971-01-01,251.1
1971-02-01,250.8
1971-03-01,249.9
1971-04-01,249
1971-05-01,247.8
1971-06-01,246.3
1971-07-01,245.7
1971-08-01,245.1
1971-09-01,244.8
1971-10-01,244.5
1971-11-01,244.2
1971-12-01,243
1972-01-01,243
1972-02-01,241.8
1972-03-01,241.2
1972-04-01,240.9
1972-05-01,240
1972-06-01,239.4
1972-07-01,238.5
1972-08-01,238.2
1972-09-01,237
1972-10-01,236.4
1972-11-01,235.8
1972-12-01,235.2
1973-01-01,234.3
1973-02-01,232.8
1973-03-01,230.4
1973-04-01,228.9
1973-05-01,227.5
1973-06-01,226
1973-07-01,225.7
1973-08-01,221.5
1973-09-01,220.9
1973-10-01,219.1
1973-11-01,217.6
1973-12-01,216.1
1974-01-01,214.3
1974-02-01,211.6
1974-03-01,209.2
1974-04-01,208
1974-05-01,205.6
1974-06-01,203.8
1974-07-01,202.3
1974-08-01,199.6
1974-09-01,197.2
1974-10-01,195.7
1974-11-01,193.9
1974-12-01,192.7
1975-01-01,191.8
1975-02-01,190.3
1975-03-01,189.7
1975-04-01,188.8
1975-05-01,187.9
1975-06-01,186.4
1975-07-01,184.4
1975-08-01,183.8
1975-09-01,182.9
1975-10-01,182
1975-11-01,180.8
1975-12-01,179.9
1976-01-01,179.6
1976-02-01,179
1976-03-01,178.7
1976-04-01,178.1
1976-05-01,176.9
1976-06-01,176
1976-07-01,174.8
1976-08-01,174.2
1976-09-01,173.3
1976-10-01,172.7
1976-11-01,172.1
1976-12-01,171.8
1977-01-01,170.6
1977-02-01,169.1
1977-03-01,167.9
1977-04-01,166.7
1977-05-01,165.8
1977-06-01,164.6
1977-07-01,164
1977-08-01,163.4
1977-09-01,162.5
1977-10-01,162.2
1977-11-01,161.3
1977-12-01,160.7
1978-01-01,159.8
1978-02-01,158.9
1978-03-01,157.7
1978-04-01,156.2
1978-05-01,154.7
1978-06-01,153.2
1978-07-01,152
1978-08-01,151.4
1978-09-01,150.2
