DATE,PMI
1/1/59,64.4
2/1/59,66.9
3/1/59,67.1
4/1/59,66.9
5/1/59,68.2
6/1/59,64.4
7/1/59,61.5
8/1/59,55.1
9/1/59,48.3
10/1/59,49.7
11/1/59,50.6
12/1/59,58.2
1/1/60,61.5
2/1/60,52.3
3/1/60,47.8
4/1/60,45.3
5/1/60,42.6
6/1/60,44.4
7/1/60,43.7
8/1/60,47.6
9/1/60,45.4
10/1/60,46
11/1/60,44.3
12/1/60,44.3
1/1/61,43.9
2/1/61,43.6
3/1/61,49.1
4/1/61,57.6
5/1/61,58.9
6/1/61,58.1
7/1/61,58.2
8/1/61,60.7
9/1/61,63
10/1/61,62.2
11/1/61,59
12/1/61,64.2
1/1/62,60.9
2/1/62,61.1
3/1/62,60.6
4/1/62,55.1
5/1/62,52.2
6/1/62,50.8
7/1/62,51
8/1/62,49.5
9/1/62,50
10/1/62,51.2
11/1/62,53.8
12/1/62,57.2
1/1/63,55.2
2/1/63,55.1
3/1/63,54.7
4/1/63,57.6
5/1/63,59.8
6/1/63,58.2
7/1/63,55.5
8/1/63,55.1
9/1/63,56.9
10/1/63,57.7
11/1/63,57.5
12/1/63,54
1/1/64,57.1
2/1/64,57.9
3/1/64,60.2
4/1/64,59.2
5/1/64,58.7
6/1/64,60.1
7/1/64,62.9
8/1/64,63.3
9/1/64,63.3
10/1/64,60.7
11/1/64,61.8
12/1/64,62.4
1/1/65,61
2/1/65,62.1
3/1/65,64.9
4/1/65,62
5/1/65,61.3
6/1/65,58.7
7/1/65,58.1
8/1/65,58.1
9/1/65,61
10/1/65,58.6
11/1/65,59.4
12/1/65,62.8
1/1/66,65.8
2/1/66,65.5
3/1/66,65.7
4/1/66,64.2
5/1/66,57.7
6/1/66,59
7/1/66,60.3
8/1/66,58.5
9/1/66,58.7
10/1/66,57.2
11/1/66,53.7
12/1/66,52.4
1/1/67,49.1
2/1/67,47.6
3/1/67,45.3
4/1/67,42.8
5/1/67,44.5
6/1/67,46.8
7/1/67,49.5
8/1/67,52.2
9/1/67,54.9
10/1/67,54.1
11/1/67,54.2
12/1/67,55.6
1/1/68,56.6
2/1/68,55
3/1/68,53.8
4/1/68,58
5/1/68,55.3
6/1/68,53.5
7/1/68,54.1
8/1/68,52.7
9/1/68,51.8
10/1/68,55.8
11/1/68,58.1
12/1/68,56.1
1/1/69,54.9
2/1/69,57
3/1/69,57.1
4/1/69,55.2
5/1/69,56.7
6/1/69,55.5
7/1/69,53.1
8/1/69,54.8
9/1/69,54.1
10/1/69,54.6
11/1/69,53.2
12/1/69,52
1/1/70,48.7
2/1/70,47.4
3/1/70,46.9
4/1/70,45
5/1/70,47.2
6/1/70,51.1
7/1/70,49.5
8/1/70,47.3
9/1/70,44.1
10/1/70,42.4
11/1/70,39.7
12/1/70,45.4
1/1/71,47.9
2/1/71,54.8
3/1/71,51.2
4/1/71,54.5
5/1/71,54.2
6/1/71,53.8
7/1/71,54.4
8/1/71,53.6
9/1/71,55.1
10/1/71,55
11/1/71,52.3
12/1/71,57.6
1/1/72,59.6
2/1/72,60.6
3/1/72,59.8
4/1/72,59.3
5/1/72,61.4
6/1/72,58.6
7/1/72,60.1
8/1/72,61.7
9/1/72,65.1
10/1/72,67
11/1/72,69.9
12/1/72,70.5
1/1/73,72.1
2/1/73,69.6
3/1/73,69.6
4/1/73,67.7
5/1/73,64.8
6/1/73,65
7/1/73,57.8
8/1/73,62.7
9/1/73,63.5
10/1/73,66.2
11/1/73,68.1
12/1/73,63.6
1/1/74,62.1
2/1/74,58.6
3/1/74,61.8
4/1/74,59.9
5/1/74,55.7
6/1/74,54.7
7/1/74,54.8
8/1/74,52.9
9/1/74,46.2
10/1/74,42.7
11/1/74,37.9
12/1/74,30.9
1/1/75,30.7
2/1/75,34.4
3/1/75,31.6
4/1/75,37.5
5/1/75,41.2
6/1/75,45.1
7/1/75,47.2
8/1/75,51.4
9/1/75,54.4
10/1/75,55.5
11/1/75,54.5
12/1/75,54.9
1/1/76,58.8
2/1/76,61.5
3/1/76,58.4
4/1/76,60.6
5/1/76,58.8
6/1/76,58.2
7/1/76,55.9
8/1/76,54.5
9/1/76,53.6
10/1/76,53.5
11/1/76,51.7
12/1/76,56.6
1/1/77,54.8
2/1/77,55
3/1/77,58.4
4/1/77,56.9
5/1/77,59.7
6/1/77,56.8
7/1/77,57.7
8/1/77,54.9
9/1/77,53.9
10/1/77,55.4
11/1/77,56.1
12/1/77,59.8
1/1/78,57.4
2/1/78,55.9
3/1/78,55
4/1/78,57.7
5/1/78,60.2
6/1/78,60.5
7/1/78,62.2
8/1/78,60.3
9/1/78,60.5
10/1/78,60.1
11/1/78,61.3
12/1/78,59.4
1/1/79,58.5
2/1/79,58.2
3/1/79,57.7
4/1/79,56.2
5/1/79,54.4
6/1/79,52.7
7/1/79,51.3
8/1/79,49.5
9/1/79,49.6
10/1/79,49
11/1/79,48
12/1/79,44.8
1/1/80,46.2
2/1/80,50.2
3/1/80,43.6
4/1/80,37.4
5/1/80,29.4
6/1/80,30.3
7/1/80,35
8/1/80,45.5
9/1/80,50.1
10/1/80,55.5
11/1/80,58.2
12/1/80,53
1/1/81,49.2
2/1/81,48.8
3/1/81,49.6
4/1/81,51.6
5/1/81,53.5
6/1/81,50.7
7/1/81,46.7
8/1/81,48.3
9/1/81,42.5
10/1/81,40
11/1/81,36.1
12/1/81,37.8
1/1/82,38.2
2/1/82,38.3
3/1/82,36.8
4/1/82,37.8
5/1/82,35.5
6/1/82,38.3
7/1/82,38.4
8/1/82,38.3
9/1/82,38.8
10/1/82,39.4
11/1/82,39.2
12/1/82,42.8
1/1/83,46
2/1/83,54.4
3/1/83,53.9
4/1/83,54.2
5/1/83,56.1
6/1/83,57.5
7/1/83,63.6
8/1/83,63.1
9/1/83,62.5
10/1/83,64.4
11/1/83,66
12/1/83,69.9
1/1/84,60.5
2/1/84,61.3
3/1/84,58.9
4/1/84,61
5/1/84,58.6
6/1/84,58.1
7/1/84,56.1
8/1/84,53
9/1/84,50
10/1/84,50.8
11/1/84,50.3
12/1/84,50.6
1/1/85,50.3
2/1/85,49.9
3/1/85,47.8
4/1/85,48.2
5/1/85,47.1
6/1/85,47.8
7/1/85,47.9
8/1/85,47.7
9/1/85,49.9
10/1/85,50.9
11/1/85,52
12/1/85,50.7
1/1/86,51.2
2/1/86,51
3/1/86,51
4/1/86,49.7
5/1/86,53.4
6/1/86,50.5
7/1/86,48
8/1/86,52.6
9/1/86,52.4
10/1/86,51.2
11/1/86,51.2
12/1/86,50.5
1/1/87,54.9
2/1/87,52.6
3/1/87,55
4/1/87,55.5
5/1/87,57.2
6/1/87,57.4
7/1/87,57.5
8/1/87,59.3
9/1/87,60
10/1/87,60.7
11/1/87,58.8
12/1/87,61
1/1/88,57.5
2/1/88,56.2
3/1/88,54.6
4/1/88,55.8
5/1/88,55.5
6/1/88,59.3
7/1/88,58.2
8/1/88,56
9/1/88,54.5
10/1/88,55.4
11/1/88,55.6
12/1/88,56
1/1/89,54.7
2/1/89,54.1
3/1/89,51.5
4/1/89,52.2
5/1/89,49.3
6/1/89,47.3
7/1/89,45.9
8/1/89,45.1
9/1/89,46
10/1/89,46.8
11/1/89,46.8
12/1/89,47.4
1/1/90,47.2
2/1/90,49.1
3/1/90,49.9
4/1/90,50
5/1/90,49.5
6/1/90,49.2
7/1/90,46.6
8/1/90,46.1
9/1/90,44.5
10/1/90,43.2
11/1/90,41.3
12/1/90,40.8
1/1/91,39.2
2/1/91,39.4
3/1/91,40.7
4/1/91,42.8
5/1/91,44.5
6/1/91,50.3
7/1/91,50.6
8/1/91,52.9
9/1/91,54.9
10/1/91,53.1
11/1/91,49.5
12/1/91,46.8
1/1/92,47.3
2/1/92,52.7
3/1/92,54.6
4/1/92,52.6
5/1/92,55.7
6/1/92,53.6
7/1/92,53.9
8/1/92,53.4
9/1/92,49.7
10/1/92,50.3
11/1/92,53.6
12/1/92,54.2
1/1/93,55.8
2/1/93,55.2
3/1/93,53.5
4/1/93,50.2
