Daily,Consumer: (United States)
1/1/04,0
1/2/04,54
1/3/04,22
1/4/04,22
1/5/04,0
1/6/04,36
1/7/04,79
1/8/04,67
1/9/04,41
1/10/04,0
1/11/04,22
1/12/04,65
1/13/04,74
1/14/04,38
1/15/04,13
1/16/04,54
1/17/04,42
1/18/04,22
1/19/04,43
1/20/04,37
1/21/04,50
1/22/04,12
1/23/04,26
1/24/04,20
1/25/04,20
1/26/04,25
1/27/04,37
1/28/04,37
1/29/04,100
1/30/04,40
1/31/04,0
2/1/04,20
2/2/04,12
2/3/04,23
2/4/04,11
2/5/04,47
2/6/04,12
2/7/04,0
2/8/04,30
2/9/04,48
2/10/04,47
2/11/04,24
2/12/04,12
2/13/04,39
2/14/04,0
2/15/04,0
2/16/04,55
2/17/04,12
2/18/04,35
2/19/04,24
2/20/04,39
2/21/04,0
2/22/04,96
2/23/04,46
2/24/04,0
2/25/04,70
2/26/04,0
2/27/04,39
2/28/04,20
2/29/04,0
3/1/04,97
3/2/04,46
3/3/04,0
3/4/04,33
3/5/04,43
3/6/04,0
3/7/04,0
3/8/04,0
3/9/04,0
3/10/04,49
3/11/04,0
3/12/04,53
3/13/04,0
3/14/04,0
3/15/04,36
3/16/04,11
3/17/04,35
3/18/04,37
3/19/04,13
3/20/04,20
3/21/04,0
3/22/04,0
3/23/04,0
3/24/04,32
3/25/04,44
3/26/04,0
3/27/04,40
3/28/04,21
3/29/04,46
3/30/04,22
3/31/04,45
4/1/04,0
4/2/04,50
4/3/04,0
4/4/04,39
4/5/04,24
4/6/04,35
4/7/04,35
4/8/04,12
4/9/04,44
4/10/04,21
4/11/04,0
4/12/04,0
4/13/04,0
4/14/04,67
4/15/04,46
4/16/04,50
4/17/04,0
4/18/04,20
4/19/04,11
4/20/04,22
4/21/04,44
4/22/04,11
4/23/04,0
4/24/04,0
4/25/04,19
4/26/04,66
4/27/04,11
4/28/04,22
4/29/04,23
4/30/04,37
5/1/04,20
5/2/04,0
5/3/04,33
5/4/04,33
5/5/04,0
5/6/04,46
5/7/04,13
5/8/04,42
5/9/04,21
5/10/04,12
5/11/04,33
5/12/04,65
5/13/04,11
5/14/04,37
5/15/04,0
5/16/04,20
5/17/04,68
5/18/04,11
5/19/04,33
5/20/04,11
5/21/04,48
5/22/04,41
5/23/04,61
5/24/04,33
5/25/04,45
5/26/04,11
5/27/04,24
5/28/04,13
5/29/04,0
5/30/04,47
5/31/04,0
6/1/04,46
6/2/04,45
6/3/04,23
6/4/04,76
6/5/04,41
6/6/04,20
6/7/04,35
6/8/04,81
6/9/04,35
6/10/04,26
6/11/04,15
6/12/04,0
6/13/04,0
6/14/04,13
6/15/04,64
6/16/04,26
6/17/04,27
6/18/04,43
6/19/04,71
6/20/04,24
6/21/04,53
6/22/04,51
6/23/04,52
6/24/04,27
6/25/04,29
6/26/04,0
6/27/04,0
6/28/04,13
6/29/04,26
6/30/04,39
7/1/04,14
7/2/04,30
7/3/04,49
7/4/04,0
7/5/04,0
7/6/04,91
7/7/04,38
7/8/04,26
7/9/04,28
7/10/04,0
7/11/04,0
7/12/04,38
7/13/04,50
7/14/04,56
7/15/04,86
7/16/04,14
7/17/04,22
7/18/04,0
7/19/04,25
7/20/04,25
7/21/04,51
7/22/04,40
7/23/04,14
7/24/04,22
7/25/04,23
7/26/04,27
7/27/04,25
7/28/04,51
7/29/04,53
7/30/04,43
7/31/04,0
8/1/04,22
8/2/04,64
8/3/04,25
8/4/04,13
8/5/04,79
8/6/04,70
8/7/04,0
8/8/04,23
8/9/04,88
8/10/04,37
8/11/04,38
8/12/04,51
8/13/04,40
8/14/04,22
8/15/04,0
8/16/04,12
8/17/04,50
8/18/04,25
8/19/04,64
8/20/04,14
8/21/04,0
8/22/04,65
8/23/04,37
8/24/04,48
8/25/04,49
8/26/04,100
8/27/04,13
8/28/04,0
8/29/04,0
8/30/04,35
8/31/04,23
9/1/04,12
9/2/04,37
9/3/04,27
9/4/04,0
9/5/04,22
9/6/04,0
9/7/04,23
9/8/04,69
9/9/04,23
9/10/04,0
9/11/04,39
9/12/04,38
9/13/04,34
9/14/04,11
9/15/04,11
9/16/04,12
9/17/04,37
9/18/04,19
9/19/04,19
9/20/04,57
9/21/04,44
9/22/04,67
9/23/04,56
9/24/04,0
9/25/04,20
9/26/04,19
9/27/04,33
9/28/04,43
9/29/04,11
9/30/04,11
10/1/04,37
10/2/04,39
10/3/04,0
10/4/04,32
10/5/04,11
10/6/04,11
10/7/04,46
10/8/04,25
10/9/04,20
10/10/04,0
10/11/04,12
10/12/04,0
10/13/04,29
10/14/04,34
10/15/04,24
10/16/04,19
10/17/04,37
10/18/04,54
10/19/04,53
10/20/04,32
10/21/04,33
10/22/04,12
10/23/04,19
10/24/04,18
10/25/04,43
10/26/04,21
10/27/04,32
10/28/04,87
10/29/04,0
10/30/04,0
10/31/04,0
11/1/04,33
11/2/04,10
11/3/04,10
11/4/04,32
11/5/04,34
11/6/04,0
11/7/04,0
11/8/04,0
11/9/04,0
11/10/04,58
11/11/04,45
11/12/04,46
11/13/04,18
11/14/04,18
11/15/04,42
11/16/04,21
11/17/04,42
11/18/04,42
11/19/04,0
11/20/04,56
11/21/04,17
11/22/04,42
11/23/04,21
11/24/04,0
11/25/04,20
11/26/04,18
11/27/04,0
11/28/04,17
11/29/04,50
11/30/04,10
12/1/04,81
12/2/04,20
12/3/04,43
12/4/04,17
12/5/04,67
12/6/04,10
12/7/04,28
12/8/04,0
12/9/04,20
12/10/04,21
12/11/04,0
12/12/04,17
12/13/04,10
12/14/04,20
12/15/04,31
12/16/04,32
12/17/04,34
12/18/04,37
12/19/04,76
12/20/04,11
12/21/04,11
12/22/04,24
12/23/04,0
12/24/04,20
12/25/04,0
12/26/04,22
12/27/04,0
12/28/04,12
12/29/04,37
12/30/04,13
12/31/04,33
1/1/05,0
1/2/05,34
1/3/05,21
1/4/05,78
1/5/05,10
1/6/05,20
1/7/05,31
1/8/05,48
1/9/05,0
1/10/05,32
1/11/05,32
1/12/05,21
1/13/05,65
1/14/05,34
1/15/05,54
1/16/05,0
1/17/05,50
1/18/05,74
1/19/05,43
1/20/05,22
1/21/05,34
1/22/05,0
1/23/05,0
1/24/05,74
1/25/05,31
1/26/05,0
1/27/05,21
1/28/05,0
1/29/05,51
1/30/05,34
1/31/05,52
2/1/05,51
2/2/05,42
2/3/05,42
2/4/05,33
2/5/05,18
2/6/05,0
2/7/05,53
2/8/05,50
2/9/05,61
2/10/05,52
2/11/05,33
2/12/05,34
2/13/05,34
2/14/05,10
2/15/05,10
2/16/05,31
2/17/05,51
2/18/05,43
2/19/05,17
2/20/05,17
2/21/05,23
2/22/05,20
2/23/05,10
2/24/05,60
2/25/05,11
2/26/05,0
2/27/05,25
2/28/05,100
3/1/05,40
3/2/05,41
3/3/05,43
3/4/05,11
3/5/05,17
3/6/05,34
3/7/05,31
3/8/05,58
3/9/05,50
3/10/05,21
3/11/05,11
3/12/05,0
3/13/05,17
3/14/05,40
3/15/05,20
3/16/05,60
3/17/05,40
3/18/05,44
3/19/05,17
3/20/05,17
3/21/05,31
3/22/05,20
3/23/05,0
3/24/05,22
3/25/05,38
3/26/05,0
3/27/05,23
3/28/05,51
3/29/05,41
3/30/05,21
3/31/05,32
4/1/05,11
4/2/05,17
4/3/05,33
4/4/05,42
4/5/05,0
4/6/05,41
4/7/05,20
4/8/05,33
4/9/05,36
4/10/05,54
4/11/05,20
4/12/05,47
4/13/05,0
4/14/05,41
4/15/05,76
4/16/05,18
4/17/05,0
4/18/05,0
4/19/05,29
4/20/05,20
4/21/05,21
4/22/05,32
4/23/05,50
