Daily,covid: (United States)
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,<1
2/14/20,<1
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,1
2/19/20,0
2/20/20,<1
2/21/20,<1
2/22/20,<1
2/23/20,<1
2/24/20,1
2/25/20,1
2/26/20,1
2/27/20,2
2/28/20,2
2/29/20,1
3/1/20,4
3/2/20,2
3/3/20,3
3/4/20,3
3/5/20,4
3/6/20,5
3/7/20,3
3/8/20,2
3/9/20,8
3/10/20,10
3/11/20,12
3/12/20,24
3/13/20,24
3/14/20,23
3/15/20,27
3/16/20,50
3/17/20,53
3/18/20,58
3/19/20,62
3/20/20,72
3/21/20,52
3/22/20,55
3/23/20,78
3/24/20,67
3/25/20,81
3/26/20,83
3/27/20,78
3/28/20,64
3/29/20,67
3/30/20,85
3/31/20,85
4/1/20,93
4/2/20,89
4/3/20,94
4/4/20,71
4/5/20,64
4/6/20,89
4/7/20,100
4/8/20,87
4/9/20,91
4/10/20,84
4/11/20,68
4/12/20,56
4/13/20,89
4/14/20,94
4/15/20,100
4/16/20,81
4/17/20,75
4/18/20,46
4/19/20,44
4/20/20,68
4/21/20,65
4/22/20,73
4/23/20,65
4/24/20,49
4/25/20,48
4/26/20,48
4/27/20,52
4/28/20,61
4/29/20,57
4/30/20,53
5/1/20,56
5/2/20,41
5/3/20,37
5/4/20,50
5/5/20,51
5/6/20,49
5/7/20,50
5/8/20,37
5/9/20,33
5/10/20,31
5/11/20,45
5/12/20,49
5/13/20,48
5/14/20,51
5/15/20,52
5/16/20,37
5/17/20,32
5/18/20,46
5/19/20,44
5/20/20,44
5/21/20,43
5/22/20,40
5/23/20,22
5/24/20,23
5/25/20,27
5/26/20,46
5/27/20,44
5/28/20,45
5/29/20,31
5/30/20,22
5/31/20,18
6/1/20,28
6/2/20,30
6/3/20,34
6/4/20,30
6/5/20,31
6/6/20,23
6/7/20,22
6/8/20,34
6/9/20,37
6/10/20,52
6/11/20,58
6/12/20,54
6/13/20,37
6/14/20,30
