Date,liquidity: (United States)
10/9/16,31
10/16/16,54
10/23/16,42
10/30/16,38
11/6/16,32
11/13/16,32
11/20/16,28
11/27/16,34
12/4/16,49
12/11/16,48
12/18/16,17
12/25/16,15
1/1/17,24
1/8/17,15
1/15/17,44
1/22/17,48
1/29/17,42
2/5/17,35
2/12/17,51
2/19/17,32
2/26/17,39
3/5/17,30
3/12/17,28
3/19/17,34
3/26/17,37
4/2/17,33
4/9/17,36
4/16/17,47
4/23/17,36
4/30/17,46
5/7/17,52
5/14/17,37
5/21/17,44
5/28/17,21
6/4/17,32
6/11/17,35
6/18/17,30
6/25/17,31
7/2/17,15
7/9/17,18
7/16/17,29
7/23/17,27
7/30/17,29
8/6/17,31
8/13/17,32
8/20/17,34
8/27/17,26
9/3/17,30
9/10/17,30
9/17/17,43
9/24/17,41
10/1/17,38
10/8/17,25
10/15/17,28
10/22/17,43
10/29/17,53
11/5/17,30
11/12/17,51
11/19/17,23
11/26/17,37
12/3/17,53
12/10/17,46
12/17/17,23
12/24/17,12
12/31/17,23
1/7/18,36
1/14/18,31
1/21/18,34
1/28/18,47
2/4/18,38
2/11/18,41
2/18/18,32
2/25/18,34
3/4/18,28
3/11/18,33
3/18/18,38
3/25/18,28
4/1/18,28
4/8/18,48
4/15/18,44
4/22/18,27
4/29/18,43
5/6/18,52
5/13/18,51
5/20/18,35
5/27/18,24
6/3/18,31
6/10/18,26
6/17/18,19
6/24/18,18
7/1/18,23
7/8/18,21
7/15/18,29
7/22/18,33
7/29/18,23
8/5/18,21
8/12/18,23
8/19/18,36
8/26/18,22
9/2/18,43
9/9/18,51
9/16/18,36
9/23/18,51
9/30/18,50
10/7/18,28
10/14/18,42
10/21/18,31
10/28/18,37
11/4/18,34
11/11/18,35
11/18/18,25
11/25/18,59
12/2/18,30
12/9/18,58
12/16/18,34
12/23/18,35
12/30/18,25
1/6/19,29
1/13/19,40
1/20/19,30
1/27/19,35
2/3/19,48
2/10/19,39
2/17/19,28
2/24/19,43
3/3/19,36
3/10/19,32
3/17/19,33
3/24/19,36
3/31/19,40
4/7/19,42
4/14/19,43
4/21/19,55
4/28/19,44
5/5/19,38
5/12/19,24
5/19/19,27
5/26/19,34
6/2/19,35
6/9/19,34
6/16/19,32
6/23/19,32
6/30/19,12
7/7/19,30
7/14/19,22
7/21/19,26
7/28/19,45
8/4/19,24
8/11/19,19
8/18/19,39
8/25/19,28
9/1/19,23
9/8/19,32
9/15/19,40
9/22/19,42
9/29/19,30
10/6/19,41
10/13/19,33
10/20/19,44
10/27/19,34
11/3/19,24
11/10/19,43
11/17/19,42
11/24/19,30
12/1/19,31
12/8/19,29
12/15/19,40
12/22/19,16
12/29/19,23
1/5/20,25
1/12/20,32
1/19/20,25
1/26/20,36
2/2/20,39
2/9/20,39
2/16/20,34
2/23/20,40
3/1/20,44
3/8/20,74
3/15/20,100
3/22/20,87
3/29/20,54
4/5/20,72
4/12/20,55
4/19/20,50
4/26/20,61
5/3/20,62
5/10/20,59
5/17/20,48
5/24/20,39
5/31/20,51
6/7/20,50
6/14/20,45
6/21/20,34
6/28/20,30
7/5/20,38
7/12/20,35
7/19/20,40
7/26/20,46
8/2/20,27
8/9/20,42
8/16/20,30
8/23/20,34
8/30/20,51
9/6/20,34
9/13/20,47
9/20/20,41
9/27/20,36
10/4/20,51
10/11/20,44
10/18/20,30
10/25/20,51
11/1/20,41
11/8/20,32
11/15/20,35
11/22/20,30
11/29/20,37
12/6/20,38
12/13/20,61
12/20/20,26
12/27/20,26
1/3/21,37
1/10/21,57
1/17/21,55
1/24/21,78
1/31/21,72
2/7/21,76
2/14/21,50
2/21/21,71
2/28/21,48
3/7/21,46
3/14/21,87
3/21/21,47
3/28/21,34
4/4/21,39
4/11/21,62
4/18/21,60
4/25/21,61
5/2/21,73
5/9/21,83
5/16/21,62
5/23/21,41
5/30/21,50
6/6/21,57
6/13/21,40
6/20/21,26
6/27/21,35
7/4/21,29
7/11/21,47
7/18/21,27
7/25/21,40
8/1/21,29
8/8/21,23
8/15/21,31
8/22/21,41
8/29/21,50
9/5/21,31
9/12/21,43
9/19/21,37
9/26/21,39
10/3/21,47
