Daily,Banking: (United States)
2004-01-01,0
2004-01-02,33
2004-01-03,97
2004-01-04,27
2004-01-05,64
2004-01-06,45
2004-01-07,41
2004-01-08,74
2004-01-09,42
2004-01-10,13
2004-01-11,40
2004-01-12,73
2004-01-13,92
2004-01-14,63
2004-01-15,86
2004-01-16,75
2004-01-17,39
2004-01-18,40
2004-01-19,18
2004-01-20,62
2004-01-21,46
2004-01-22,38
2004-01-23,24
2004-01-24,37
2004-01-25,37
2004-01-26,46
2004-01-27,45
2004-01-28,53
2004-01-29,70
2004-01-30,57
2004-01-31,37
2004-02-01,38
2004-02-02,22
2004-02-03,35
2004-02-04,100
2004-02-05,59
2004-02-06,46
2004-02-07,100
2004-02-08,0
2004-02-09,44
2004-02-10,43
2004-02-11,44
2004-02-12,61
2004-02-13,41
2004-02-14,39
2004-02-15,53
2004-02-16,68
2004-02-17,37
2004-02-18,51
2004-02-19,67
2004-02-20,56
2004-02-21,24
2004-02-22,36
2004-02-23,28
2004-02-24,58
2004-02-25,29
2004-02-26,22
2004-02-27,48
2004-02-28,75
2004-02-29,0
2004-03-01,70
2004-03-02,50
2004-03-03,0
2004-03-04,82
2004-03-05,54
2004-03-06,39
2004-03-07,0
2004-03-08,0
2004-03-09,0
2004-03-10,91
2004-03-11,81
2004-03-12,22
2004-03-13,76
2004-03-14,38
2004-03-15,81
2004-03-16,29
2004-03-17,7
2004-03-18,38
2004-03-19,49
2004-03-20,13
2004-03-21,25
2004-03-22,29
2004-03-23,0
2004-03-24,90
2004-03-25,27
2004-03-26,90
2004-03-27,25
2004-03-28,13
2004-03-29,57
2004-03-30,48
2004-03-31,35
2004-04-01,63
2004-04-02,69
2004-04-03,25
2004-04-04,12
2004-04-05,22
2004-04-06,21
2004-04-07,73
2004-04-08,45
2004-04-09,45
2004-04-10,0
2004-04-11,81
2004-04-12,0
2004-04-13,0
2004-04-14,55
2004-04-15,71
2004-04-16,23
2004-04-17,26
2004-04-18,86
2004-04-19,42
2004-04-20,81
2004-04-21,41
2004-04-22,42
2004-04-23,30
2004-04-24,76
2004-04-25,12
2004-04-26,54
2004-04-27,47
2004-04-28,90
2004-04-29,57
2004-04-30,68
2004-05-01,49
2004-05-02,23
2004-05-03,69
2004-05-04,47
2004-05-05,41
2004-05-06,36
2004-05-07,31
2004-05-08,26
2004-05-09,92
2004-05-10,65
2004-05-11,34
2004-05-12,54
2004-05-13,49
2004-05-14,53
2004-05-15,38
2004-05-16,13
2004-05-17,42
2004-05-18,41
2004-05-19,28
2004-05-20,14
2004-05-21,75
2004-05-22,25
2004-05-23,76
2004-05-24,35
2004-05-25,34
2004-05-26,43
2004-05-27,51
2004-05-28,82
2004-05-29,41
2004-05-30,43
2004-05-31,12
2004-06-01,71
2004-06-02,97
2004-06-03,58
2004-06-04,70
2004-06-05,13
2004-06-06,25
2004-06-07,57
2004-06-08,57
2004-06-09,37
2004-06-10,34
2004-06-11,38
2004-06-12,26
2004-06-13,9
2004-06-14,24
2004-06-15,52
2004-06-16,68
2004-06-17,35
2004-06-18,32
2004-06-19,9
2004-06-20,0
2004-06-21,39
2004-06-22,37
2004-06-23,68
2004-06-24,49
2004-06-25,32
2004-06-26,34
2004-06-27,9
2004-06-28,19
2004-06-29,56
2004-06-30,43
2004-07-01,40
2004-07-02,39
2004-07-03,27
2004-07-04,0
2004-07-05,16
2004-07-06,38
2004-07-07,47
2004-07-08,82
2004-07-09,52
2004-07-10,41
2004-07-11,17
2004-07-12,52
2004-07-13,50
2004-07-14,21
2004-07-15,38
2004-07-16,53
2004-07-17,8
2004-07-18,33
2004-07-19,37
2004-07-20,60
2004-07-21,56
2004-07-22,44
2004-07-23,26
2004-07-24,24
2004-07-25,17
2004-07-26,29
2004-07-27,41
2004-07-28,28
2004-07-29,29
2004-07-30,42
2004-07-31,33
2004-08-01,33
2004-08-02,28
2004-08-03,28
2004-08-04,33
2004-08-05,39
2004-08-06,51
2004-08-07,17
2004-08-08,67
2004-08-09,19
2004-08-10,87
2004-08-11,74
2004-08-12,47
2004-08-13,65
2004-08-14,16
2004-08-15,16
2004-08-16,46
2004-08-17,27
