Daily,Consumer: (United States)
2004-01-01,0
2004-01-02,54
2004-01-03,22
2004-01-04,22
2004-01-05,0
2004-01-06,36
2004-01-07,79
2004-01-08,67
2004-01-09,41
2004-01-10,0
2004-01-11,22
2004-01-12,65
2004-01-13,74
2004-01-14,38
2004-01-15,13
2004-01-16,54
2004-01-17,42
2004-01-18,22
2004-01-19,43
2004-01-20,37
2004-01-21,50
2004-01-22,12
2004-01-23,26
2004-01-24,20
2004-01-25,20
2004-01-26,25
2004-01-27,37
2004-01-28,37
2004-01-29,100
2004-01-30,40
2004-01-31,0
2004-02-01,20
2004-02-02,12
2004-02-03,23
2004-02-04,11
2004-02-05,47
2004-02-06,12
2004-02-07,0
2004-02-08,30
2004-02-09,48
2004-02-10,47
2004-02-11,24
2004-02-12,12
2004-02-13,39
2004-02-14,0
2004-02-15,0
2004-02-16,55
2004-02-17,12
2004-02-18,35
2004-02-19,24
2004-02-20,39
2004-02-21,0
2004-02-22,96
2004-02-23,46
2004-02-24,0
2004-02-25,70
2004-02-26,0
2004-02-27,39
2004-02-28,20
2004-02-29,0
2004-03-01,97
2004-03-02,46
2004-03-03,0
2004-03-04,33
2004-03-05,43
2004-03-06,0
2004-03-07,0
2004-03-08,0
2004-03-09,0
2004-03-10,49
2004-03-11,0
2004-03-12,53
2004-03-13,0
2004-03-14,0
2004-03-15,36
2004-03-16,11
2004-03-17,35
2004-03-18,37
2004-03-19,13
2004-03-20,20
2004-03-21,0
2004-03-22,0
2004-03-23,0
2004-03-24,32
2004-03-25,44
2004-03-26,0
2004-03-27,40
2004-03-28,21
2004-03-29,46
2004-03-30,22
2004-03-31,45
2004-04-01,0
2004-04-02,50
2004-04-03,0
2004-04-04,39
2004-04-05,24
2004-04-06,35
2004-04-07,35
2004-04-08,12
2004-04-09,44
2004-04-10,21
2004-04-11,0
2004-04-12,0
2004-04-13,0
2004-04-14,67
2004-04-15,46
2004-04-16,50
2004-04-17,0
2004-04-18,20
2004-04-19,11
2004-04-20,22
2004-04-21,44
2004-04-22,11
2004-04-23,0
2004-04-24,0
2004-04-25,19
2004-04-26,66
2004-04-27,11
2004-04-28,22
2004-04-29,23
2004-04-30,37
2004-05-01,20
2004-05-02,0
2004-05-03,33
2004-05-04,33
2004-05-05,0
2004-05-06,46
2004-05-07,13
2004-05-08,42
2004-05-09,21
2004-05-10,12
2004-05-11,33
2004-05-12,65
2004-05-13,11
2004-05-14,37
2004-05-15,0
2004-05-16,20
2004-05-17,68
2004-05-18,11
2004-05-19,33
2004-05-20,11
2004-05-21,48
2004-05-22,41
2004-05-23,61
2004-05-24,33
2004-05-25,45
2004-05-26,11
2004-05-27,24
2004-05-28,13
2004-05-29,0
2004-05-30,47
2004-05-31,0
2004-06-01,46
2004-06-02,45
2004-06-03,23
2004-06-04,76
2004-06-05,41
2004-06-06,20
2004-06-07,35
2004-06-08,81
2004-06-09,35
2004-06-10,26
2004-06-11,15
2004-06-12,0
2004-06-13,0
2004-06-14,13
2004-06-15,64
2004-06-16,26
2004-06-17,27
2004-06-18,43
2004-06-19,71
2004-06-20,24
2004-06-21,53
2004-06-22,51
2004-06-23,52
2004-06-24,27
2004-06-25,29
2004-06-26,0
2004-06-27,0
2004-06-28,13
2004-06-29,26
2004-06-30,39
2004-07-01,14
2004-07-02,30
2004-07-03,49
2004-07-04,0
2004-07-05,0
2004-07-06,91
2004-07-07,38
2004-07-08,26
2004-07-09,28
2004-07-10,0
2004-07-11,0
2004-07-12,38
2004-07-13,50
2004-07-14,56
2004-07-15,86
2004-07-16,14
2004-07-17,22
2004-07-18,0
2004-07-19,25
2004-07-20,25
2004-07-21,51
2004-07-22,40
2004-07-23,14
2004-07-24,22
2004-07-25,23
2004-07-26,27
2004-07-27,25
2004-07-28,51
2004-07-29,53
2004-07-30,43
2004-07-31,0
2004-08-01,22
2004-08-02,64
2004-08-03,25
2004-08-04,13
2004-08-05,79
2004-08-06,70
2004-08-07,0
2004-08-08,23
2004-08-09,88
2004-08-10,37
2004-08-11,38
2004-08-12,51
2004-08-13,40
2004-08-14,22
2004-08-15,0
2004-08-16,12
2004-08-17,50
2004-08-18,25
2004-08-19,64
2004-08-20,14
2004-08-21,0
2004-08-22,65
2004-08-23,37
2004-08-24,48
2004-08-25,49
2004-08-26,100
2004-08-27,13
2004-08-28,0
2004-08-29,0
2004-08-30,35
2004-08-31,23
2004-09-01,12
2004-09-02,37
2004-09-03,27
2004-09-04,0
2004-09-05,22
2004-09-06,0
2004-09-07,23
2004-09-08,69
2004-09-09,23
2004-09-10,0
2004-09-11,39
2004-09-12,38
2004-09-13,34
2004-09-14,11
2004-09-15,11
2004-09-16,12
2004-09-17,37
2004-09-18,19
2004-09-19,19
2004-09-20,57
2004-09-21,44
2004-09-22,67
2004-09-23,56
2004-09-24,0
2004-09-25,20
2004-09-26,19
2004-09-27,33
2004-09-28,43
2004-09-29,11
2004-09-30,11
2004-10-01,37
2004-10-02,39
2004-10-03,0
2004-10-04,32
2004-10-05,11
2004-10-06,11
2004-10-07,46
2004-10-08,25
2004-10-09,20
2004-10-10,0
2004-10-11,12
2004-10-12,0
2004-10-13,29
2004-10-14,34
2004-10-15,24
2004-10-16,19
2004-10-17,37
2004-10-18,54
2004-10-19,53
2004-10-20,32
2004-10-21,33
2004-10-22,12
2004-10-23,19
2004-10-24,18
2004-10-25,43
2004-10-26,21
2004-10-27,32
2004-10-28,87
2004-10-29,0
2004-10-30,0
2004-10-31,0
2004-11-01,33
2004-11-02,10
2004-11-03,10
2004-11-04,32
2004-11-05,34
2004-11-06,0
2004-11-07,0
2004-11-08,0
2004-11-09,0
2004-11-10,58
2004-11-11,45
2004-11-12,46
2004-11-13,18
2004-11-14,18
2004-11-15,42
2004-11-16,21
2004-11-17,42
2004-11-18,42
2004-11-19,0
2004-11-20,56
2004-11-21,17
2004-11-22,42
2004-11-23,21
2004-11-24,0
2004-11-25,20
2004-11-26,18
2004-11-27,0
2004-11-28,17
2004-11-29,50
2004-11-30,10
2004-12-01,81
2004-12-02,20
2004-12-03,43
2004-12-04,17
2004-12-05,67
2004-12-06,10
2004-12-07,28
2004-12-08,0
2004-12-09,20
2004-12-10,21
2004-12-11,0
2004-12-12,17
2004-12-13,10
2004-12-14,20
2004-12-15,31
2004-12-16,32
2004-12-17,34
2004-12-18,37
2004-12-19,76
2004-12-20,11
2004-12-21,11
2004-12-22,24
2004-12-23,0
2004-12-24,20
2004-12-25,0
2004-12-26,22
2004-12-27,0
2004-12-28,12
2004-12-29,37
2004-12-30,13
2004-12-31,33
2005-01-01,0
2005-01-02,34
2005-01-03,21
2005-01-04,78
2005-01-05,10
2005-01-06,20
2005-01-07,31
2005-01-08,48
2005-01-09,0
2005-01-10,32
2005-01-11,32
2005-01-12,21
2005-01-13,65
2005-01-14,34
2005-01-15,54
2005-01-16,0
2005-01-17,50
2005-01-18,74
2005-01-19,43
2005-01-20,22
2005-01-21,34
2005-01-22,0
2005-01-23,0
2005-01-24,74
2005-01-25,31
2005-01-26,0
2005-01-27,21
2005-01-28,0
2005-01-29,51
2005-01-30,34
2005-01-31,52
2005-02-01,51
2005-02-02,42
2005-02-03,42
2005-02-04,33
2005-02-05,18
2005-02-06,0
2005-02-07,53
2005-02-08,50
2005-02-09,61
2005-02-10,52
2005-02-11,33
2005-02-12,34
2005-02-13,34
2005-02-14,10
2005-02-15,10
2005-02-16,31
2005-02-17,51
2005-02-18,43
2005-02-19,17
2005-02-20,17
2005-02-21,23
2005-02-22,20
2005-02-23,10
2005-02-24,60
2005-02-25,11
2005-02-26,0
2005-02-27,25
2005-02-28,100
2005-03-01,40
2005-03-02,41
2005-03-03,43
2005-03-04,11
2005-03-05,17
2005-03-06,34
2005-03-07,31
2005-03-08,58
2005-03-09,50
2005-03-10,21
2005-03-11,11
2005-03-12,0
2005-03-13,17
2005-03-14,40
2005-03-15,20
2005-03-16,60
2005-03-17,40
2005-03-18,44
2005-03-19,17
2005-03-20,17
2005-03-21,31
2005-03-22,20
2005-03-23,0
2005-03-24,22
2005-03-25,38
2005-03-26,0
2005-03-27,23
2005-03-28,51
2005-03-29,41
2005-03-30,21
2005-03-31,32
2005-04-01,11
2005-04-02,17
2005-04-03,33
2005-04-04,42
2005-04-05,0
2005-04-06,41
2005-04-07,20
2005-04-08,33
2005-04-09,36
2005-04-10,54
2005-04-11,20
2005-04-12,47
2005-04-13,0
2005-04-14,41
2005-04-15,76
2005-04-16,18
2005-04-17,0
2005-04-18,0
2005-04-19,29
2005-04-20,20
2005-04-21,21
2005-04-22,32
