Date,neural network output
2007-07-03,0.0730927
2007-07-05,0.9973935
2007-07-06,0.30492985
2007-07-09,0.058182627
2007-07-10,0.848778
2007-07-11,0.11165002
2007-07-12,0.08262572
2007-07-13,0.17042986
2007-07-16,0.15572742
2007-07-17,0.03350562
2007-07-18,0.11092213
2007-07-19,0.0020201802
2007-07-20,0.058153093
2007-07-23,0.11798015
2007-07-24,0.9999995
2007-07-25,0.0052767396
2007-07-26,0.35856968
2007-07-27,0.72407615
2007-07-30,0.13625115
2007-07-31,0.98790145
2007-08-01,0.42675507
2007-08-02,0.13034827
2007-08-03,0.81620383
2007-08-06,0.007619351
2007-08-07,0.01983878
2007-08-08,0.3177808
2007-08-09,0.7559651
2007-08-10,0.24209908
2007-08-13,0.103212684
2007-08-14,0.8081329
2007-08-15,0.22704086
2007-08-16,0.017746478
2007-08-17,0.022533536
2007-08-20,0.0033596754
2007-08-21,0.007444322
2007-08-22,0.007360995
2007-08-23,0.49343246
2007-08-24,0.024762481
2007-08-27,0.43555614
2007-08-28,0.951671
2007-08-29,8.8129076e-05
2007-08-30,0.7392118
2007-08-31,0.050532788
2007-09-04,0.41159025
2007-09-05,0.9170898
2007-09-06,0.06423113
2007-09-07,0.7420672
2007-09-11,0.21460721
2007-09-12,0.029125929
2007-09-13,0.18757382
2007-09-14,0.008473605
2007-09-17,0.73103297
2007-09-18,0.024660021
2007-09-19,0.06418145
2007-09-20,0.17336279
2007-09-21,0.08358073
2007-09-24,0.0018875599
2007-09-25,0.023170263
2007-09-26,0.15336233
2007-09-27,0.24791098
2007-09-28,0.5046419
2007-10-01,0.09009287
2007-10-02,0.61543894
2007-10-03,0.66483015
2007-10-04,0.004232824
2007-10-05,0.5844325
2007-10-08,0.9986129
2007-10-09,0.024945498
2007-10-10,0.84635794
2007-10-11,0.55681485
2007-10-12,0.18271846
2007-10-15,0.9992819
2007-10-16,0.84556854
2007-10-17,0.5438855
2007-10-18,0.12730002
2007-10-19,0.7516102
2007-10-22,0.07743913
2007-10-23,0.42015213
2007-10-24,0.019912183
2007-10-25,0.85726374
2007-10-26,0.19531655
2007-10-29,0.13781223
2007-10-30,0.5138013
2007-10-31,0.3602003
2007-11-01,0.7049133
2007-11-02,0.16212344
2007-11-05,0.32079676
2007-11-06,0.08078405
2007-11-07,0.99375284
2007-11-08,0.13957852
2007-11-09,0.9606303
2007-11-12,0.90981555
2007-11-13,0.07151884
2007-11-14,0.92523015
2007-11-15,0.38130152
2007-11-16,0.16329184
2007-11-19,0.89702165
2007-11-20,0.027104437
2007-11-21,0.992005
2007-11-23,0.013161004
2007-11-27,0.024492532
2007-11-28,0.018128991
2007-11-29,0.00014874339
2007-11-30,0.0118251145
2007-12-03,0.7762461
2007-12-04,0.19201308
2007-12-05,0.07658556
2007-12-06,0.021796227
2007-12-07,0.022189945
2007-12-10,0.23876199
2007-12-11,0.6552246
2007-12-12,0.01569882
2007-12-13,0.022874564
2007-12-14,0.9192704
2007-12-17,0.6278092
2007-12-19,0.022529006
2007-12-20,0.55749345
2007-12-21,0.55836874
2007-12-24,0.015871018
