Date,y,Friday,Monday,Thursday,Tuesday,Wednesday
2006-07-03,,0,1,0,0,0
2006-07-05,0.08429114266039472,0,0,0,0,1
2006-07-06,-0.03533568999855097,0,0,1,0,0
2006-07-07,0.023443271607431093,1,0,0,0,0
2006-07-10,0.0035791116520498267,0,1,0,0,0
2006-07-11,-0.06276748114894759,0,0,0,1,0
2006-07-12,0.10273967979623588,0,0,0,0,1
2006-07-13,0.227743353798171,0,0,1,0,0
2006-07-14,0.014614857119331193,1,0,0,0,0
2006-07-17,0.032686990444658504,0,1,0,0,0
2006-07-18,-0.048283242918456315,0,0,0,1,0
2006-07-19,-0.12344980882969103,0,0,0,0,1
2006-07-20,0.042443658240662874,0,0,1,0,0
2006-07-21,0.07341151149092306,1,0,0,0,0
2006-07-24,-0.13908046720396172,0,1,0,0,0
2006-07-25,-0.008678181891799586,0,0,0,1,0
2006-07-26,-0.015488248485006517,0,0,0,0,1
2006-07-27,0.02188780419487535,0,0,1,0,0
2006-07-28,-0.040829964779797945,1,0,0,0,0
2006-07-31,0.04326586802930965,0,1,0,0,0
2006-08-01,0.006688988812411312,0,0,0,1,0
2006-08-02,-0.04717608167101983,0,0,0,0,1
2006-08-03,0.008368192767238325,0,0,1,0,0
2006-08-04,-0.008298747250519378,1,0,0,0,0
2006-08-07,0.06206411298313852,0,1,0,0,0
2006-08-08,0.0,0,0,0,1,0
2006-08-09,-0.0019697789804914434,0,0,0,0,1
2006-08-10,-0.04868419607920638,0,0,1,0,0
2006-08-11,-0.0110649963340258,1,0,0,0,0
2006-08-14,-0.0027972000922730222,0,1,0,0,0
2006-08-15,-0.05890604061047455,0,0,0,1,0
2006-08-16,-0.0752608213964151,0,0,0,0,1
2006-08-17,-0.013698636453198354,0,0,1,0,0
2006-08-18,-0.04901956201103741,1,0,0,0,0
2006-08-21,0.04982817067000944,0,1,0,0,0
2006-08-22,-0.0024550479533501646,0,0,0,1,0
2006-08-23,0.01722723916126423,0,0,0,0,1
2006-08-24,0.0,0,0,1,0,0
2006-08-25,-0.007258000135667908,1,0,0,0,0
2006-08-28,-0.010560528839118066,0,1,0,0,0
2006-08-29,0.008210133439234601,0,0,0,1,0
2006-08-30,-0.004885950101553127,0,0,0,0,1
2006-08-31,0.007364987775877907,0,0,1,0,0
2006-09-01,-0.02843219898774174,1,0,0,0,0
2006-09-05,0.056020073090045974,0,0,0,1,0
2006-09-06,0.08788595776876451,0,0,0,0,1
2006-09-07,0.010189253686673228,0,0,1,0,0
2006-09-08,-0.05187321765795316,1,0,0,0,0
2006-09-11,-0.012917939077892626,0,1,0,0,0
2006-09-12,-0.08237103261566214,0,0,0,1,0
2006-09-13,-0.06208051731390907,0,0,0,0,1
2006-09-14,0.03309480102498652,0,0,1,0,0
2006-09-15,0.018181821184334757,1,0,0,0,0
2006-09-18,0.0017006380697373036,0,1,0,0,0
2006-09-19,0.016977912886140034,0,0,0,1,0
2006-09-20,-0.04924868292636331,0,0,0,0,1
2006-09-21,0.07550479637881757,0,0,1,0,0
2006-09-22,0.027755114496970767,1,0,0,0,0
2006-09-25,-0.03733123600734822,0,1,0,0,0
2006-09-26,-0.04867988103620968,0,0,0,1,0
2006-09-27,0.004336530086109347,0,0,0,0,1
2006-09-28,0.012089839744830355,0,0,1,0,0
2006-09-29,0.022184237993488898,1,0,0,0,0
2006-10-02,0.049248762531902024,0,1,0,0,0
2006-10-03,-0.02625297786140235,0,0,0,1,0
